CONTAINER LIFECYCLE STATE TRACKING
State Machine: 7-State Container Lifecycle
Configuration:
  Base Memory: 125.0 MB
  Memory Multiplier: 1.5
  Total GPU Memory: 4096.0 MB

STATE DEFINITIONS
State,Phase,Description,Actions
CREATED,Registration,Container registered in scheduler,Memory allocated from pool
STARTING,Initialization,Subprocess being created,Process object created
ALLOCATING_MEMORY,GPU Setup,GPU memory allocation in progress,torch.zeros() executed
RUNNING,Execution,Container actively using GPU,Worker process executing
RELEASING_MEMORY,Cleanup,Memory being released,torch.cuda.empty_cache() called
COMPLETED,Final (Success),Container completed successfully,"Exit code 0, memory freed"
FAILED,Final (Error),Container failed with error,"Exit code != 0, memory freed"

Container ID,Current State,Timestamp (s),Time Since Launch (s),Memory Allocated (MB),Container Status,State Description
13,RELEASING_MEMORY,1774878675.90,63.68,421.9,✓ SUCCESS,Releasing allocated memory
13,COMPLETED,1774878675.90,63.68,421.9,✓ SUCCESS,Finished successfully
14,STARTING,1774878617.23,0.00,632.8,✓ SUCCESS,Process being launched
14,ALLOCATING_MEMORY,1774878617.23,0.00,632.8,✓ SUCCESS,GPU memory being allocated
14,RUNNING,1774878617.23,0.00,632.8,✓ SUCCESS,Active execution on GPU
14,RELEASING_MEMORY,1774878680.94,63.71,632.8,✓ SUCCESS,Releasing allocated memory
14,COMPLETED,1774878680.94,63.71,632.8,✓ SUCCESS,Finished successfully
15,STARTING,1774878672.29,0.00,949.2,✓ SUCCESS,Process being launched
15,ALLOCATING_MEMORY,1774878672.29,0.00,949.2,✓ SUCCESS,GPU memory being allocated
15,RUNNING,1774878672.29,0.00,949.2,✓ SUCCESS,Active execution on GPU
15,RELEASING_MEMORY,1774878735.93,63.64,949.2,✓ SUCCESS,Releasing allocated memory
15,COMPLETED,1774878735.93,63.64,949.2,✓ SUCCESS,Finished successfully
16,STARTING,1774878677.29,0.00,1423.8,✓ SUCCESS,Process being launched
16,ALLOCATING_MEMORY,1774878677.29,0.00,1423.8,✓ SUCCESS,GPU memory being allocated
16,RUNNING,1774878677.29,0.00,1423.8,✓ SUCCESS,Active execution on GPU
16,RELEASING_MEMORY,1774878740.99,63.70,1423.8,✓ SUCCESS,Releasing allocated memory
16,COMPLETED,1774878740.99,63.70,1423.8,✓ SUCCESS,Finished successfully
17,STARTING,1774878735.93,0.00,2135.7,✓ SUCCESS,Process being launched
17,ALLOCATING_MEMORY,1774878735.93,0.00,2135.7,✓ SUCCESS,GPU memory being allocated
17,RUNNING,1774878735.93,0.00,2135.7,✓ SUCCESS,Active execution on GPU
17,RELEASING_MEMORY,1774878799.76,63.83,2135.7,✓ SUCCESS,Releasing allocated memory
17,COMPLETED,1774878799.76,63.83,2135.7,✓ SUCCESS,Finished successfully
18,STARTING,1774878799.76,0.00,3203.6,✓ SUCCESS,Process being launched
18,ALLOCATING_MEMORY,1774878799.76,0.00,3203.6,✓ SUCCESS,GPU memory being allocated
18,RUNNING,1774878799.76,0.00,3203.6,✓ SUCCESS,Active execution on GPU
18,RELEASING_MEMORY,1774878863.40,63.64,3203.6,✓ SUCCESS,Releasing allocated memory
18,COMPLETED,1774878863.40,63.64,3203.6,✓ SUCCESS,Finished successfully
19,STARTING,1774878802.42,0.00,125.0,✓ SUCCESS,Process being launched
19,ALLOCATING_MEMORY,1774878802.42,0.00,125.0,✓ SUCCESS,GPU memory being allocated
19,RUNNING,1774878802.42,0.00,125.0,✓ SUCCESS,Active execution on GPU
19,RELEASING_MEMORY,1774878866.17,63.75,125.0,✓ SUCCESS,Releasing allocated memory
19,COMPLETED,1774878866.17,63.75,125.0,✓ SUCCESS,Finished successfully
20,STARTING,1774878807.43,0.00,187.5,✓ SUCCESS,Process being launched
20,ALLOCATING_MEMORY,1774878807.43,0.00,187.5,✓ SUCCESS,GPU memory being allocated
20,RUNNING,1774878807.43,0.00,187.5,✓ SUCCESS,Active execution on GPU
20,RELEASING_MEMORY,1774878871.14,63.71,187.5,✓ SUCCESS,Releasing allocated memory
20,COMPLETED,1774878871.14,63.71,187.5,✓ SUCCESS,Finished successfully
21,STARTING,1774878867.48,0.00,281.2,✓ SUCCESS,Process being launched
21,ALLOCATING_MEMORY,1774878867.48,0.00,281.2,✓ SUCCESS,GPU memory being allocated
21,RUNNING,1774878867.48,0.00,281.2,✓ SUCCESS,Active execution on GPU
21,RELEASING_MEMORY,1774878931.23,63.75,281.2,✓ SUCCESS,Releasing allocated memory
21,COMPLETED,1774878931.23,63.75,281.2,✓ SUCCESS,Finished successfully
22,STARTING,1774878872.48,0.00,421.9,✓ SUCCESS,Process being launched
22,ALLOCATING_MEMORY,1774878872.48,0.00,421.9,✓ SUCCESS,GPU memory being allocated
22,RUNNING,1774878872.48,0.00,421.9,✓ SUCCESS,Active execution on GPU
22,RELEASING_MEMORY,1774878936.18,63.70,421.9,✓ SUCCESS,Releasing allocated memory
22,COMPLETED,1774878936.18,63.70,421.9,✓ SUCCESS,Finished successfully
23,STARTING,1774878877.49,0.00,632.8,✓ SUCCESS,Process being launched
23,ALLOCATING_MEMORY,1774878877.49,0.00,632.8,✓ SUCCESS,GPU memory being allocated
23,RUNNING,1774878877.49,0.00,632.8,✓ SUCCESS,Active execution on GPU
23,RELEASING_MEMORY,1774878941.18,63.69,632.8,✓ SUCCESS,Releasing allocated memory
23,COMPLETED,1774878941.18,63.69,632.8,✓ SUCCESS,Finished successfully
24,STARTING,1774878932.55,0.00,949.2,✓ SUCCESS,Process being launched
24,ALLOCATING_MEMORY,1774878932.55,0.00,949.2,✓ SUCCESS,GPU memory being allocated
24,RUNNING,1774878932.55,0.00,949.2,✓ SUCCESS,Active execution on GPU
24,RELEASING_MEMORY,1774878996.30,63.76,949.2,✓ SUCCESS,Releasing allocated memory
24,COMPLETED,1774878996.30,63.76,949.2,✓ SUCCESS,Finished successfully
25,STARTING,1774878937.55,0.00,1423.8,✓ SUCCESS,Process being launched
25,ALLOCATING_MEMORY,1774878937.55,0.00,1423.8,✓ SUCCESS,GPU memory being allocated
25,RUNNING,1774878937.55,0.00,1423.8,✓ SUCCESS,Active execution on GPU
25,RELEASING_MEMORY,1774879001.27,63.72,1423.8,✓ SUCCESS,Releasing allocated memory
25,COMPLETED,1774879001.27,63.72,1423.8,✓ SUCCESS,Finished successfully
26,STARTING,1774878996.30,0.00,2135.7,✓ SUCCESS,Process being launched
26,ALLOCATING_MEMORY,1774878996.30,0.00,2135.7,✓ SUCCESS,GPU memory being allocated
26,RUNNING,1774878996.31,0.00,2135.7,✓ SUCCESS,Active execution on GPU
26,RELEASING_MEMORY,1774879059.94,63.63,2135.7,✓ SUCCESS,Releasing allocated memory
26,COMPLETED,1774879059.94,63.63,2135.7,✓ SUCCESS,Finished successfully
27,STARTING,1774879059.94,0.00,3203.6,✓ SUCCESS,Process being launched
27,ALLOCATING_MEMORY,1774879059.94,0.00,3203.6,✓ SUCCESS,GPU memory being allocated
27,RUNNING,1774879059.94,0.00,3203.6,✓ SUCCESS,Active execution on GPU
27,RELEASING_MEMORY,1774879123.69,63.75,3203.6,✓ SUCCESS,Releasing allocated memory
27,COMPLETED,1774879123.69,63.75,3203.6,✓ SUCCESS,Finished successfully
28,STARTING,1774879062.69,0.00,125.0,✓ SUCCESS,Process being launched
28,ALLOCATING_MEMORY,1774879062.69,0.00,125.0,✓ SUCCESS,GPU memory being allocated
28,RUNNING,1774879062.69,0.00,125.0,✓ SUCCESS,Active execution on GPU
28,RELEASING_MEMORY,1774879126.42,63.73,125.0,✓ SUCCESS,Releasing allocated memory
28,COMPLETED,1774879126.42,63.73,125.0,✓ SUCCESS,Finished successfully
29,STARTING,1774879067.69,0.00,187.5,✓ SUCCESS,Process being launched
29,ALLOCATING_MEMORY,1774879067.69,0.00,187.5,✓ SUCCESS,GPU memory being allocated
29,RUNNING,1774879067.69,0.00,187.5,✓ SUCCESS,Active execution on GPU
29,RELEASING_MEMORY,1774879131.40,63.71,187.5,✓ SUCCESS,Releasing allocated memory
29,COMPLETED,1774879131.40,63.71,187.5,✓ SUCCESS,Finished successfully
30,STARTING,1774879127.76,0.00,281.2,✓ SUCCESS,Process being launched
30,ALLOCATING_MEMORY,1774879127.76,0.00,281.2,✓ SUCCESS,GPU memory being allocated
30,RUNNING,1774879127.76,0.00,281.2,✓ SUCCESS,Active execution on GPU
30,RELEASING_MEMORY,1774879191.44,63.68,281.2,✓ SUCCESS,Releasing allocated memory
30,COMPLETED,1774879191.44,63.68,281.2,✓ SUCCESS,Finished successfully
31,STARTING,1774879132.77,0.00,421.9,✓ SUCCESS,Process being launched
31,ALLOCATING_MEMORY,1774879132.77,0.00,421.9,✓ SUCCESS,GPU memory being allocated
31,RUNNING,1774879132.77,0.00,421.9,✓ SUCCESS,Active execution on GPU
31,RELEASING_MEMORY,1774879196.48,63.71,421.9,✓ SUCCESS,Releasing allocated memory
31,COMPLETED,1774879196.48,63.71,421.9,✓ SUCCESS,Finished successfully
32,STARTING,1774879137.77,0.00,632.8,✓ SUCCESS,Process being launched
32,ALLOCATING_MEMORY,1774879137.77,0.00,632.8,✓ SUCCESS,GPU memory being allocated
32,RUNNING,1774879137.77,0.00,632.8,✓ SUCCESS,Active execution on GPU
32,RELEASING_MEMORY,1774879201.42,63.65,632.8,✓ SUCCESS,Releasing allocated memory
32,COMPLETED,1774879201.42,63.65,632.8,✓ SUCCESS,Finished successfully
33,STARTING,1774879192.84,0.00,949.2,✓ SUCCESS,Process being launched
33,ALLOCATING_MEMORY,1774879192.84,0.00,949.2,✓ SUCCESS,GPU memory being allocated
33,RUNNING,1774879192.84,0.00,949.2,✓ SUCCESS,Active execution on GPU
33,RELEASING_MEMORY,1774879256.53,63.69,949.2,✓ SUCCESS,Releasing allocated memory
33,COMPLETED,1774879256.53,63.69,949.2,✓ SUCCESS,Finished successfully
34,STARTING,1774879197.85,0.00,1423.8,✓ SUCCESS,Process being launched
