DETAILED TIMELINE - FIRST HOUR (3600 seconds)
Shows ACTUAL overlapping container execution with correct parallelism

Configuration:
Base Memory (M0),125.0 MB
Memory Multiplier,1.5x
Total GPU Memory,4096.0 MB
Container Duration,60 seconds (1 min)
Max Concurrent,3
Reset Interval,3 containers (dynamic)

Time (s),Containers Running,Container IDs,Memory Used (MB),Memory %,Remaining (MB),Can Launch New?,Decision Reason
405,3,"C19, C20, C21",593.8,14.50%,3502.2,NO,Max parallel
410,3,"C19, C20, C21",593.8,14.50%,3502.2,NO,Max parallel
415,3,"C19, C20, C21",593.8,14.50%,3502.2,NO,Max parallel
420,3,"C20, C21, C22",593.8,14.50%,3502.2,NO,Max parallel
425,3,"C21, C22, C23",593.8,14.50%,3502.2,NO,Max parallel
430,3,"C22, C23, C24",593.8,14.50%,3502.2,NO,Max parallel
435,3,"C22, C23, C24",593.8,14.50%,3502.2,NO,Max parallel
440,3,"C22, C23, C24",593.8,14.50%,3502.2,NO,Max parallel
445,3,"C22, C23, C24",593.8,14.50%,3502.2,NO,Max parallel
450,3,"C22, C23, C24",593.8,14.50%,3502.2,NO,Max parallel
455,3,"C22, C23, C24",593.8,14.50%,3502.2,NO,Max parallel
460,3,"C22, C23, C24",593.8,14.50%,3502.2,NO,Max parallel
465,3,"C22, C23, C24",593.8,14.50%,3502.2,NO,Max parallel
470,3,"C22, C23, C24",593.8,14.50%,3502.2,NO,Max parallel
475,3,"C22, C23, C24",593.8,14.50%,3502.2,NO,Max parallel
480,3,"C23, C24, C25",593.8,14.50%,3502.2,NO,Max parallel
485,3,"C24, C25, C26",593.8,14.50%,3502.2,NO,Max parallel
490,3,"C25, C26, C27",593.8,14.50%,3502.2,NO,Max parallel
495,3,"C25, C26, C27",593.8,14.50%,3502.2,NO,Max parallel
500,3,"C25, C26, C27",593.8,14.50%,3502.2,NO,Max parallel
505,3,"C25, C26, C27",593.8,14.50%,3502.2,NO,Max parallel
510,3,"C25, C26, C27",593.8,14.50%,3502.2,NO,Max parallel
515,3,"C25, C26, C27",593.8,14.50%,3502.2,NO,Max parallel
520,3,"C25, C26, C27",593.8,14.50%,3502.2,NO,Max parallel
525,3,"C25, C26, C27",593.8,14.50%,3502.2,NO,Max parallel
530,3,"C25, C26, C27",593.8,14.50%,3502.2,NO,Max parallel
535,3,"C25, C26, C27",593.8,14.50%,3502.2,NO,Max parallel
540,3,"C26, C27, C28",593.8,14.50%,3502.2,NO,Max parallel
545,3,"C27, C28, C29",593.8,14.50%,3502.2,NO,Max parallel
550,3,"C28, C29, C30",593.8,14.50%,3502.2,NO,Max parallel
555,3,"C28, C29, C30",593.8,14.50%,3502.2,NO,Max parallel
560,3,"C28, C29, C30",593.8,14.50%,3502.2,NO,Max parallel
565,3,"C28, C29, C30",593.8,14.50%,3502.2,NO,Max parallel
570,3,"C28, C29, C30",593.8,14.50%,3502.2,NO,Max parallel
575,3,"C28, C29, C30",593.8,14.50%,3502.2,NO,Max parallel
580,3,"C28, C29, C30",593.8,14.50%,3502.2,NO,Max parallel
585,3,"C28, C29, C30",593.8,14.50%,3502.2,NO,Max parallel
590,3,"C28, C29, C30",593.8,14.50%,3502.2,NO,Max parallel
595,3,"C28, C29, C30",593.8,14.50%,3502.2,NO,Max parallel
600,3,"C29, C30, C31",593.8,14.50%,3502.2,NO,Max parallel
605,3,"C30, C31, C32",593.8,14.50%,3502.2,NO,Max parallel
610,3,"C31, C32, C33",593.8,14.50%,3502.2,NO,Max parallel
615,3,"C31, C32, C33",593.8,14.50%,3502.2,NO,Max parallel
620,3,"C31, C32, C33",593.8,14.50%,3502.2,NO,Max parallel
625,3,"C31, C32, C33",593.8,14.50%,3502.2,NO,Max parallel
630,3,"C31, C32, C33",593.8,14.50%,3502.2,NO,Max parallel
635,3,"C31, C32, C33",593.8,14.50%,3502.2,NO,Max parallel
640,3,"C31, C32, C33",593.8,14.50%,3502.2,NO,Max parallel
645,3,"C31, C32, C33",593.8,14.50%,3502.2,NO,Max parallel
650,3,"C31, C32, C33",593.8,14.50%,3502.2,NO,Max parallel
655,3,"C31, C32, C33",593.8,14.50%,3502.2,NO,Max parallel
660,3,"C32, C33, C34",593.8,14.50%,3502.2,NO,Max parallel
665,3,"C33, C34, C35",593.8,14.50%,3502.2,NO,Max parallel
670,3,"C34, C35, C36",593.8,14.50%,3502.2,NO,Max parallel
675,3,"C34, C35, C36",593.8,14.50%,3502.2,NO,Max parallel
680,3,"C34, C35, C36",593.8,14.50%,3502.2,NO,Max parallel
685,3,"C34, C35, C36",593.8,14.50%,3502.2,NO,Max parallel
690,3,"C34, C35, C36",593.8,14.50%,3502.2,NO,Max parallel
695,3,"C34, C35, C36",593.8,14.50%,3502.2,NO,Max parallel
700,3,"C34, C35, C36",593.8,14.50%,3502.2,NO,Max parallel
705,3,"C34, C35, C36",593.8,14.50%,3502.2,NO,Max parallel
710,3,"C34, C35, C36",593.8,14.50%,3502.2,NO,Max parallel
715,3,"C34, C35, C36",593.8,14.50%,3502.2,NO,Max parallel
720,3,"C35, C36, C37",593.8,14.50%,3502.2,NO,Max parallel
725,3,"C36, C37, C38",593.8,14.50%,3502.2,NO,Max parallel
730,3,"C37, C38, C39",593.8,14.50%,3502.2,NO,Max parallel
735,3,"C37, C38, C39",593.8,14.50%,3502.2,NO,Max parallel
740,3,"C37, C38, C39",593.8,14.50%,3502.2,NO,Max parallel
745,3,"C37, C38, C39",593.8,14.50%,3502.2,NO,Max parallel
750,3,"C37, C38, C39",593.8,14.50%,3502.2,NO,Max parallel
755,3,"C37, C38, C39",593.8,14.50%,3502.2,NO,Max parallel
760,3,"C37, C38, C39",593.8,14.50%,3502.2,NO,Max parallel
765,3,"C37, C38, C39",593.8,14.50%,3502.2,NO,Max parallel
770,3,"C37, C38, C39",593.8,14.50%,3502.2,NO,Max parallel
775,3,"C37, C38, C39",593.8,14.50%,3502.2,NO,Max parallel
780,3,"C38, C39, C40",593.8,14.50%,3502.2,NO,Max parallel
785,3,"C39, C40, C41",593.8,14.50%,3502.2,NO,Max parallel
790,3,"C40, C41, C42",593.8,14.50%,3502.2,NO,Max parallel
795,3,"C40, C41, C42",593.8,14.50%,3502.2,NO,Max parallel
800,3,"C40, C41, C42",593.8,14.50%,3502.2,NO,Max parallel
805,3,"C40, C41, C42",593.8,14.50%,3502.2,NO,Max parallel
810,3,"C40, C41, C42",593.8,14.50%,3502.2,NO,Max parallel
815,3,"C40, C41, C42",593.8,14.50%,3502.2,NO,Max parallel
820,3,"C40, C41, C42",593.8,14.50%,3502.2,NO,Max parallel
825,3,"C40, C41, C42",593.8,14.50%,3502.2,NO,Max parallel
830,3,"C40, C41, C42",593.8,14.50%,3502.2,NO,Max parallel
835,3,"C40, C41, C42",593.8,14.50%,3502.2,NO,Max parallel
840,3,"C41, C42, C43",593.8,14.50%,3502.2,NO,Max parallel
845,3,"C42, C43, C44",593.8,14.50%,3502.2,NO,Max parallel
850,3,"C43, C44, C45",593.8,14.50%,3502.2,NO,Max parallel
855,3,"C43, C44, C45",593.8,14.50%,3502.2,NO,Max parallel
860,3,"C43, C44, C45",593.8,14.50%,3502.2,NO,Max parallel
865,3,"C43, C44, C45",593.8,14.50%,3502.2,NO,Max parallel
870,3,"C43, C44, C45",593.8,14.50%,3502.2,NO,Max parallel
875,3,"C43, C44, C45",593.8,14.50%,3502.2,NO,Max parallel
880,3,"C43, C44, C45",593.8,14.50%,3502.2,NO,Max parallel
885,3,"C43, C44, C45",593.8,14.50%,3502.2,NO,Max parallel
890,3,"C43, C44, C45",593.8,14.50%,3502.2,NO,Max parallel
895,3,"C43, C44, C45",593.8,14.50%,3502.2,NO,Max parallel
900,3,"C44, C45, C46",593.8,14.50%,3502.2,NO,Max parallel
905,3,"C45, C46, C47",593.8,14.50%,3502.2,NO,Max parallel
910,3,"C46, C47, C48",593.8,14.50%,3502.2,NO,Max parallel
915,3,"C46, C47, C48",593.8,14.50%,3502.2,NO,Max parallel
920,3,"C46, C47, C48",593.8,14.50%,3502.2,NO,Max parallel
925,3,"C46, C47, C48",593.8,14.50%,3502.2,NO,Max parallel
930,3,"C46, C47, C48",593.8,14.50%,3502.2,NO,Max parallel
935,3,"C46, C47, C48",593.8,14.50%,3502.2,NO,Max parallel
940,3,"C46, C47, C48",593.8,14.50%,3502.2,NO,Max parallel
945,3,"C46, C47, C48",593.8,14.50%,3502.2,NO,Max parallel
950,3,"C46, C47, C48",593.8,14.50%,3502.2,NO,Max parallel
955,3,"C46, C47, C48",593.8,14.50%,3502.2,NO,Max parallel
960,3,"C47, C48, C49",593.8,14.50%,3502.2,NO,Max parallel
965,3,"C48, C49, C50",593.8,14.50%,3502.2,NO,Max parallel
970,3,"C49, C50, C51",593.8,14.50%,3502.2,NO,Max parallel
975,3,"C49, C50, C51",593.8,14.50%,3502.2,NO,Max parallel
980,3,"C49, C50, C51",593.8,14.50%,3502.2,NO,Max parallel
985,3,"C49, C50, C51",593.8,14.50%,3502.2,NO,Max parallel
990,3,"C49, C50, C51",593.8,14.50%,3502.2,NO,Max parallel
995,3,"C49, C50, C51",593.8,14.50%,3502.2,NO,Max parallel
1000,3,"C49, C50, C51",593.8,14.50%,3502.2,NO,Max parallel
1005,3,"C49, C50, C51",593.8,14.50%,3502.2,NO,Max parallel
1010,3,"C49, C50, C51",593.8,14.50%,3502.2,NO,Max parallel
1015,3,"C49, C50, C51",593.8,14.50%,3502.2,NO,Max parallel
1020,3,"C50, C51, C52",593.8,14.50%,3502.2,NO,Max parallel
1025,3,"C51, C52, C53",593.8,14.50%,3502.2,NO,Max parallel
1030,3,"C52, C53, C54",593.8,14.50%,3502.2,NO,Max parallel
1035,3,"C52, C53, C54",593.8,14.50%,3502.2,NO,Max parallel
1040,3,"C52, C53, C54",593.8,14.50%,3502.2,NO,Max parallel
1045,3,"C52, C53, C54",593.8,14.50%,3502.2,NO,Max parallel
1050,3,"C52, C53, C54",593.8,14.50%,3502.2,NO,Max parallel
1055,3,"C52, C53, C54",593.8,14.50%,3502.2,NO,Max parallel
1060,3,"C52, C53, C54",593.8,14.50%,3502.2,NO,Max parallel
1065,3,"C52, C53, C54",593.8,14.50%,3502.2,NO,Max parallel
1070,3,"C52, C53, C54",593.8,14.50%,3502.2,NO,Max parallel
1075,3,"C52, C53, C54",593.8,14.50%,3502.2,NO,Max parallel
1080,3,"C53, C54, C55",593.8,14.50%,3502.2,NO,Max parallel
1085,3,"C54, C55, C56",593.8,14.50%,3502.2,NO,Max parallel
1090,3,"C55, C56, C57",593.8,14.50%,3502.2,NO,Max parallel
1095,3,"C55, C56, C57",593.8,14.50%,3502.2,NO,Max parallel
1100,3,"C55, C56, C57",593.8,14.50%,3502.2,NO,Max parallel
1105,3,"C55, C56, C57",593.8,14.50%,3502.2,NO,Max parallel
1110,3,"C55, C56, C57",593.8,14.50%,3502.2,NO,Max parallel
1115,3,"C55, C56, C57",593.8,14.50%,3502.2,NO,Max parallel
1120,3,"C55, C56, C57",593.8,14.50%,3502.2,NO,Max parallel
1125,3,"C55, C56, C57",593.8,14.50%,3502.2,NO,Max parallel
1130,3,"C55, C56, C57",593.8,14.50%,3502.2,NO,Max parallel
1135,3,"C55, C56, C57",593.8,14.50%,3502.2,NO,Max parallel
1140,3,"C56, C57, C58",593.8,14.50%,3502.2,NO,Max parallel
1145,3,"C57, C58, C59",593.8,14.50%,3502.2,NO,Max parallel
1150,3,"C58, C59, C60",593.8,14.50%,3502.2,NO,Max parallel
1155,3,"C58, C59, C60",593.8,14.50%,3502.2,NO,Max parallel
1160,3,"C58, C59, C60",593.8,14.50%,3502.2,NO,Max parallel
1165,3,"C58, C59, C60",593.8,14.50%,3502.2,NO,Max parallel
1170,3,"C58, C59, C60",593.8,14.50%,3502.2,NO,Max parallel
1175,3,"C58, C59, C60",593.8,14.50%,3502.2,NO,Max parallel
1180,3,"C58, C59, C60",593.8,14.50%,3502.2,NO,Max parallel
1185,3,"C58, C59, C60",593.8,14.50%,3502.2,NO,Max parallel
