COMPREHENSIVE EXECUTION SCHEDULE
Complete container lifecycle with concurrent execution details
Generated:,2026-03-30 14:45:42

CONFIGURATION
Base Memory:,125.0 MB
Memory Multiplier:,1.5x
Total GPU Memory:,4096.0 MB
Container Duration:,60s
Max Concurrent:,3
Reset Interval (cycle):,3

INDIVIDUAL CONTAINER EXECUTION
Container ID,Memory (MB),Type (n/cycle),Launch Time (s),Completion Time (s),Duration Actual (s),Status,State Count,Peak Concurrent,Overlapping Containers
57,281.2,3/3,1774879908.80,1774879972.42,63.62,✓ COMPLETED,5,3,"C56, C58, C59"
58,421.9,1/3,1774879913.80,1774879977.52,63.72,✓ COMPLETED,5,3,"C57, C59, C60"
59,632.8,2/3,1774879918.81,1774879982.48,63.68,✓ COMPLETED,5,4,"C57, C58, C60, C61"
60,949.2,3/3,1774879973.90,1774880037.53,63.63,✓ COMPLETED,5,3,"C58, C59, C61"
61,1423.8,1/3,1774879978.90,1774880042.67,63.77,✓ COMPLETED,5,3,"C59, C60, C62"
62,2135.7,2/3,1774880037.53,1774880101.25,63.72,✓ COMPLETED,5,1,C61
63,3203.6,3/3,1774880101.25,1774880165.14,63.90,✓ COMPLETED,5,2,"C64, C65"
64,125.0,1/3,1774880104.09,1774880167.74,63.65,✓ COMPLETED,5,2,"C63, C65"
65,187.5,2/3,1774880109.10,1774880172.85,63.76,✓ COMPLETED,5,3,"C63, C64, C66"
66,281.2,3/3,1774880169.20,1774880232.92,63.72,✓ COMPLETED,5,3,"C65, C67, C68"
67,421.9,1/3,1774880174.20,1774880237.85,63.64,✓ COMPLETED,5,3,"C66, C68, C69"
68,632.8,2/3,1774880179.21,1774880243.04,63.83,✓ COMPLETED,5,4,"C66, C67, C69, C70"
69,949.2,3/3,1774880234.27,1774880298.04,63.77,✓ COMPLETED,5,3,"C67, C68, C70"
70,1423.8,1/3,1774880239.28,1774880303.13,63.86,✓ COMPLETED,5,3,"C68, C69, C71"
71,2135.7,2/3,1774880298.04,1774880361.72,63.68,✓ COMPLETED,5,1,C70
72,3203.6,3/3,1774880361.72,1774880425.54,63.83,✓ COMPLETED,5,2,"C73, C74"
73,125.0,1/3,1774880364.49,1774880428.26,63.78,✓ COMPLETED,5,2,"C72, C74"
74,187.5,2/3,1774880369.49,1774880433.18,63.69,✓ COMPLETED,5,3,"C72, C73, C75"
75,281.2,3/3,1774880429.60,1774880493.26,63.67,✓ COMPLETED,5,3,"C74, C76, C77"
76,421.9,1/3,1774880434.60,1774880498.30,63.70,✓ COMPLETED,5,3,"C75, C77, C78"
77,632.8,2/3,1774880439.61,1774880503.38,63.77,✓ COMPLETED,5,4,"C75, C76, C78, C79"
78,949.2,3/3,1774880494.70,1774880558.47,63.77,✓ COMPLETED,5,3,"C76, C77, C79"
79,1423.8,1/3,1774880499.71,1774880563.41,63.70,✓ COMPLETED,5,3,"C77, C78, C80"
80,2135.7,2/3,1774880558.47,1774880622.13,63.66,✓ COMPLETED,5,1,C79
81,3203.6,3/3,1774880622.13,1774880685.92,63.79,✓ COMPLETED,5,2,"C82, C83"
82,125.0,1/3,1774880624.86,1774880688.61,63.75,✓ COMPLETED,5,2,"C81, C83"
83,187.5,2/3,1774880629.86,1774880693.49,63.63,✓ COMPLETED,5,3,"C81, C82, C84"
84,281.2,3/3,1774880689.91,1774880753.60,63.69,✓ COMPLETED,5,3,"C83, C85, C86"
85,421.9,1/3,1774880694.92,1774880758.62,63.70,✓ COMPLETED,5,3,"C84, C86, C87"
86,632.8,2/3,1774880699.92,1774880763.57,63.64,✓ COMPLETED,5,4,"C84, C85, C87, C88"
87,949.2,3/3,1774880754.94,1774880818.68,63.74,✓ COMPLETED,5,3,"C85, C86, C88"
88,1423.8,1/3,1774880759.95,1774880823.72,63.77,✓ COMPLETED,5,3,"C86, C87, C89"
89,2135.7,2/3,1774880818.68,1774880882.46,63.78,✓ COMPLETED,5,1,C88
90,3203.6,3/3,1774880882.46,1774880946.23,63.77,✓ COMPLETED,5,2,"C91, C92"
91,125.0,1/3,1774880885.02,1774880948.69,63.67,✓ COMPLETED,5,2,"C90, C92"
92,187.5,2/3,1774880890.03,1774880953.81,63.78,✓ COMPLETED,5,3,"C90, C91, C93"
93,281.2,3/3,1774880950.06,1774881013.78,63.72,✓ COMPLETED,5,3,"C92, C94, C95"
94,421.9,1/3,1774880955.06,1774881018.86,63.79,✓ COMPLETED,5,3,"C93, C95, C96"
95,632.8,2/3,1774880960.07,1774881023.81,63.74,✓ COMPLETED,5,4,"C93, C94, C96, C97"
96,949.2,3/3,1774881015.09,1774881078.84,63.75,✓ COMPLETED,5,3,"C94, C95, C97"
97,1423.8,1/3,1774881020.10,1774881083.92,63.82,✓ COMPLETED,5,3,"C95, C96, C98"
98,2135.7,2/3,1774881078.85,1774881142.59,63.75,✓ COMPLETED,5,1,C97
99,3203.6,3/3,1774881142.60,1774881206.48,63.89,✓ COMPLETED,5,2,"C100, C101"
100,125.0,1/3,1774881145.16,1774881208.83,63.68,✓ COMPLETED,5,2,"C99, C101"
101,187.5,2/3,1774881150.16,1774881213.84,63.67,✓ COMPLETED,5,3,"C99, C100, C102"
102,281.2,3/3,1774881210.20,1774881273.84,63.65,✓ COMPLETED,5,3,"C101, C103, C104"
103,421.9,1/3,1774881215.20,1774881278.90,63.69,✓ COMPLETED,5,3,"C102, C104, C105"
104,632.8,2/3,1774881220.21,1774881283.90,63.69,✓ COMPLETED,5,4,"C102, C103, C105, C106"
105,949.2,3/3,1774881275.25,1774881339.08,63.83,✓ COMPLETED,5,3,"C103, C104, C106"
106,1423.8,1/3,1774881280.25,1774881344.06,63.81,✓ COMPLETED,5,3,"C104, C105, C107"
107,2135.7,2/3,1774881339.08,1774881402.90,63.82,✓ COMPLETED,5,1,C106
108,3203.6,3/3,1774881402.90,1774881466.80,63.90,✓ COMPLETED,5,2,"C109, C110"
109,125.0,1/3,1774881405.35,1774881469.06,63.71,✓ COMPLETED,5,2,"C108, C110"
110,187.5,2/3,1774881410.35,1774881474.12,63.77,✓ COMPLETED,5,3,"C108, C109, C111"
111,281.2,3/3,1774881470.41,1774881534.24,63.83,✓ COMPLETED,5,3,"C110, C112, C113"
112,421.9,1/3,1774881475.41,1774881539.12,63.71,✓ COMPLETED,5,3,"C111, C113, C114"
113,632.8,2/3,1774881480.42,1774881544.33,63.91,✓ COMPLETED,5,4,"C111, C112, C114, C115"
114,949.2,3/3,1774881535.47,1774881599.14,63.67,✓ COMPLETED,5,3,"C112, C113, C115"
115,1423.8,1/3,1774881540.47,1774881604.33,63.86,✓ COMPLETED,5,3,"C113, C114, C116"
116,2135.7,2/3,1774881599.14,1774881662.86,63.73,✓ COMPLETED,5,1,C115
