MEMORY USAGE TIMELINE
Generated from container execution schedule with dynamic memory model (cycle=3)
Configuration:
  Total GPU Memory: 4096.0 MB
  Base Memory: 125.0 MB
  Memory Multiplier: 1.5
  Container Duration: 60 seconds
  Reset Interval: 3 containers (dynamic)

Timestamp (s),Active Containers (count),Container IDs,Total Memory Used (MB),Used %,Remaining Capacity (MB),Available %,Memory Pressure,Can Launch?
225,12,"C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
230,12,"C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
235,12,"C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C48",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
240,12,"C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
245,12,"C39, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
250,12,"C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C51",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
255,12,"C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C51, C52",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
260,12,"C42, C43, C44, C45, C46, C47, C48, C49, C50, C51, C52, C53",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
265,12,"C43, C44, C45, C46, C47, C48, C49, C50, C51, C52, C53, C54",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
270,12,"C44, C45, C46, C47, C48, C49, C50, C51, C52, C53, C54, C55",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
275,12,"C45, C46, C47, C48, C49, C50, C51, C52, C53, C54, C55, C56",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
280,12,"C46, C47, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
285,12,"C47, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
290,12,"C48, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
295,12,"C49, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C60",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
300,12,"C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C60, C61",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
305,12,"C51, C52, C53, C54, C55, C56, C57, C58, C59, C60, C61, C62",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
310,12,"C52, C53, C54, C55, C56, C57, C58, C59, C60, C61, C62, C63",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
315,12,"C53, C54, C55, C56, C57, C58, C59, C60, C61, C62, C63, C64",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
320,12,"C54, C55, C56, C57, C58, C59, C60, C61, C62, C63, C64, C65",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
325,12,"C55, C56, C57, C58, C59, C60, C61, C62, C63, C64, C65, C66",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
330,12,"C56, C57, C58, C59, C60, C61, C62, C63, C64, C65, C66, C67",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
335,12,"C57, C58, C59, C60, C61, C62, C63, C64, C65, C66, C67, C68",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
340,12,"C58, C59, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
345,12,"C59, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C70",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
350,12,"C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C70, C71",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
355,12,"C61, C62, C63, C64, C65, C66, C67, C68, C69, C70, C71, C72",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
360,12,"C62, C63, C64, C65, C66, C67, C68, C69, C70, C71, C72, C73",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
365,12,"C63, C64, C65, C66, C67, C68, C69, C70, C71, C72, C73, C74",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
370,12,"C64, C65, C66, C67, C68, C69, C70, C71, C72, C73, C74, C75",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
375,12,"C65, C66, C67, C68, C69, C70, C71, C72, C73, C74, C75, C76",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
380,12,"C66, C67, C68, C69, C70, C71, C72, C73, C74, C75, C76, C77",2375.0,58.0%,1721.0,42.0%,MEDIUM,YES
