CONTAINER EXECUTION DATA
Configuration:
  Total GPU Memory: 4096.0 MB
  Base Memory: 125.0 MB
  Memory Multiplier: 1.5

Container ID,Memory Allocated (MB),Expected Duration (s),Launch Time (s),Completion Time (s),Actual Duration (s),Duration Accuracy,Success,Execution Status,Memory Efficiency %
1,125.0,60,1774878336.96,1774878400.77,63.81,93.6%,Yes,✓ Completed,3.1%
2,187.5,60,1774878341.96,1774878405.61,63.65,93.9%,Yes,✓ Completed,4.6%
3,281.2,60,1774878346.97,1774878410.58,63.61,94.0%,Yes,✓ Completed,6.9%
4,421.9,60,1774878402.02,1774878465.72,63.70,93.8%,Yes,✓ Completed,10.3%
5,632.8,60,1774878407.02,1774878470.81,63.78,93.7%,Yes,✓ Completed,15.4%
6,949.2,60,1774878412.03,1774878475.82,63.78,93.7%,Yes,✓ Completed,23.2%
7,1423.8,60,1774878467.08,1774878530.83,63.74,93.8%,Yes,✓ Completed,34.8%
8,2135.7,60,1774878475.82,1774878539.57,63.75,93.7%,Yes,✓ Completed,52.1%
9,3203.6,60,1774878539.57,1774878603.38,63.81,93.6%,Yes,✓ Completed,78.2%
10,125.0,60,1774878542.16,1774878605.92,63.75,93.7%,Yes,✓ Completed,3.1%
11,187.5,60,1774878547.16,1774878610.91,63.74,93.8%,Yes,✓ Completed,4.6%
12,281.2,60,1774878607.22,1774878670.92,63.70,93.8%,Yes,✓ Completed,6.9%
13,421.9,60,1774878612.23,1774878675.90,63.68,93.9%,Yes,✓ Completed,10.3%
14,632.8,60,1774878617.23,1774878680.94,63.72,93.8%,Yes,✓ Completed,15.4%
15,949.2,60,1774878672.29,1774878735.93,63.64,93.9%,Yes,✓ Completed,23.2%
16,1423.8,60,1774878677.29,1774878740.99,63.70,93.8%,Yes,✓ Completed,34.8%
17,2135.7,60,1774878735.93,1774878799.76,63.83,93.6%,Yes,✓ Completed,52.1%
18,3203.6,60,1774878799.76,1774878863.40,63.64,93.9%,Yes,✓ Completed,78.2%
19,125.0,60,1774878802.42,1774878866.17,63.75,93.8%,Yes,✓ Completed,3.1%
20,187.5,60,1774878807.43,1774878871.14,63.71,93.8%,Yes,✓ Completed,4.6%
21,281.2,60,1774878867.48,1774878931.23,63.75,93.7%,Yes,✓ Completed,6.9%
22,421.9,60,1774878872.48,1774878936.18,63.70,93.8%,Yes,✓ Completed,10.3%
23,632.8,60,1774878877.49,1774878941.18,63.69,93.8%,Yes,✓ Completed,15.4%
24,949.2,60,1774878932.55,1774878996.30,63.76,93.7%,Yes,✓ Completed,23.2%
25,1423.8,60,1774878937.55,1774879001.28,63.72,93.8%,Yes,✓ Completed,34.8%
26,2135.7,60,1774878996.30,1774879059.94,63.63,93.9%,Yes,✓ Completed,52.1%
27,3203.6,60,1774879059.94,1774879123.69,63.75,93.7%,Yes,✓ Completed,78.2%
28,125.0,60,1774879062.68,1774879126.42,63.73,93.8%,Yes,✓ Completed,3.1%
29,187.5,60,1774879067.69,1774879131.40,63.71,93.8%,Yes,✓ Completed,4.6%
30,281.2,60,1774879127.76,1774879191.44,63.68,93.9%,Yes,✓ Completed,6.9%
31,421.9,60,1774879132.77,1774879196.48,63.71,93.8%,Yes,✓ Completed,10.3%
32,632.8,60,1774879137.77,1774879201.42,63.65,93.9%,Yes,✓ Completed,15.4%
33,949.2,60,1774879192.84,1774879256.53,63.69,93.8%,Yes,✓ Completed,23.2%
34,1423.8,60,1774879197.85,1774879261.64,63.78,93.7%,Yes,✓ Completed,34.8%
35,2135.7,60,1774879256.53,1774879320.28,63.75,93.8%,Yes,✓ Completed,52.1%
36,3203.6,60,1774879320.28,1774879384.08,63.80,93.7%,Yes,✓ Completed,78.2%
37,125.0,60,1774879323.01,1774879386.85,63.85,93.6%,Yes,✓ Completed,3.1%
38,187.5,60,1774879328.02,1774879391.81,63.80,93.7%,Yes,✓ Completed,4.6%
39,281.2,60,1774879388.10,1774879451.77,63.67,93.9%,Yes,✓ Completed,6.9%
40,421.9,60,1774879393.10,1774879456.74,63.63,93.9%,Yes,✓ Completed,10.3%
41,632.8,60,1774879398.10,1774879461.79,63.69,93.9%,Yes,✓ Completed,15.4%
42,949.2,60,1774879453.18,1774879516.92,63.74,93.8%,Yes,✓ Completed,23.2%
43,1423.8,60,1774879458.19,1774879521.90,63.71,93.8%,Yes,✓ Completed,34.8%
44,2135.7,60,1774879516.92,1774879580.65,63.73,93.8%,Yes,✓ Completed,52.1%
45,3203.6,60,1774879580.65,1774879644.49,63.84,93.6%,Yes,✓ Completed,78.2%
46,125.0,60,1774879583.35,1774879647.07,63.73,93.8%,Yes,✓ Completed,3.1%
47,187.5,60,1774879588.35,1774879652.13,63.78,93.7%,Yes,✓ Completed,4.6%
48,281.2,60,1774879648.44,1774879712.27,63.82,93.6%,Yes,✓ Completed,6.9%
49,421.9,60,1774879653.44,1774879717.09,63.65,93.9%,Yes,✓ Completed,10.3%
50,632.8,60,1774879658.44,1774879722.23,63.78,93.7%,Yes,✓ Completed,15.4%
51,949.2,60,1774879713.53,1774879777.45,63.93,93.5%,Yes,✓ Completed,23.2%
52,1423.8,60,1774879718.53,1774879782.29,63.76,93.7%,Yes,✓ Completed,34.8%
53,2135.7,60,1774879777.45,1774879841.39,63.94,93.4%,Yes,✓ Completed,52.1%
54,3203.6,60,1774879841.39,1774879905.16,63.77,93.7%,Yes,✓ Completed,78.2%
55,125.0,60,1774879843.70,1774879907.45,63.74,93.8%,Yes,✓ Completed,3.1%
56,187.5,60,1774879848.70,1774879912.43,63.72,93.8%,Yes,✓ Completed,4.6%
57,281.2,60,1774879908.80,1774879972.42,63.62,94.0%,Yes,✓ Completed,6.9%
58,421.9,60,1774879913.80,1774879977.52,63.72,93.8%,Yes,✓ Completed,10.3%
59,632.8,60,1774879918.81,1774879982.48,63.68,93.9%,Yes,✓ Completed,15.4%
60,949.2,60,1774879973.90,1774880037.53,63.63,94.0%,Yes,✓ Completed,23.2%
61,1423.8,60,1774879978.90,1774880042.67,63.77,93.7%,Yes,✓ Completed,34.8%
62,2135.7,60,1774880037.53,1774880101.25,63.72,93.8%,Yes,✓ Completed,52.1%
63,3203.6,60,1774880101.25,1774880165.14,63.90,93.5%,Yes,✓ Completed,78.2%
64,125.0,60,1774880104.09,1774880167.74,63.65,93.9%,Yes,✓ Completed,3.1%
65,187.5,60,1774880109.10,1774880172.85,63.76,93.7%,Yes,✓ Completed,4.6%
66,281.2,60,1774880169.20,1774880232.92,63.72,93.8%,Yes,✓ Completed,6.9%
67,421.9,60,1774880174.20,1774880237.85,63.64,93.9%,Yes,✓ Completed,10.3%
68,632.8,60,1774880179.21,1774880243.04,63.83,93.6%,Yes,✓ Completed,15.4%
69,949.2,60,1774880234.27,1774880298.04,63.77,93.7%,Yes,✓ Completed,23.2%
70,1423.8,60,1774880239.28,1774880303.13,63.86,93.6%,Yes,✓ Completed,34.8%
71,2135.7,60,1774880298.04,1774880361.72,63.68,93.9%,Yes,✓ Completed,52.1%
72,3203.6,60,1774880361.72,1774880425.54,63.83,93.6%,Yes,✓ Completed,78.2%
73,125.0,60,1774880364.49,1774880428.26,63.78,93.7%,Yes,✓ Completed,3.1%
74,187.5,60,1774880369.49,1774880433.18,63.69,93.8%,Yes,✓ Completed,4.6%
75,281.2,60,1774880429.60,1774880493.26,63.67,93.9%,Yes,✓ Completed,6.9%
76,421.9,60,1774880434.60,1774880498.30,63.70,93.8%,Yes,✓ Completed,10.3%
77,632.8,60,1774880439.61,1774880503.38,63.77,93.7%,Yes,✓ Completed,15.4%
78,949.2,60,1774880494.70,1774880558.47,63.77,93.7%,Yes,✓ Completed,23.2%
79,1423.8,60,1774880499.71,1774880563.41,63.70,93.8%,Yes,✓ Completed,34.8%
80,2135.7,60,1774880558.47,1774880622.13,63.66,93.9%,Yes,✓ Completed,52.1%
81,3203.6,60,1774880622.13,1774880685.92,63.79,93.7%,Yes,✓ Completed,78.2%
82,125.0,60,1774880624.86,1774880688.61,63.75,93.7%,Yes,✓ Completed,3.1%
83,187.5,60,1774880629.86,1774880693.49,63.63,94.0%,Yes,✓ Completed,4.6%
84,281.2,60,1774880689.91,1774880753.60,63.69,93.8%,Yes,✓ Completed,6.9%
85,421.9,60,1774880694.92,1774880758.62,63.70,93.8%,Yes,✓ Completed,10.3%
86,632.8,60,1774880699.92,1774880763.57,63.64,93.9%,Yes,✓ Completed,15.4%
87,949.2,60,1774880754.94,1774880818.68,63.74,93.8%,Yes,✓ Completed,23.2%
88,1423.8,60,1774880759.95,1774880823.72,63.77,93.7%,Yes,✓ Completed,34.8%
89,2135.7,60,1774880818.68,1774880882.46,63.78,93.7%,Yes,✓ Completed,52.1%
90,3203.6,60,1774880882.46,1774880946.23,63.77,93.7%,Yes,✓ Completed,78.2%
91,125.0,60,1774880885.02,1774880948.69,63.67,93.9%,Yes,✓ Completed,3.1%
92,187.5,60,1774880890.03,1774880953.81,63.78,93.7%,Yes,✓ Completed,4.6%
93,281.2,60,1774880950.06,1774881013.78,63.72,93.8%,Yes,✓ Completed,6.9%
94,421.9,60,1774880955.06,1774881018.86,63.79,93.7%,Yes,✓ Completed,10.3%
95,632.8,60,1774880960.07,1774881023.81,63.74,93.8%,Yes,✓ Completed,15.4%
96,949.2,60,1774881015.09,1774881078.84,63.75,93.7%,Yes,✓ Completed,23.2%
97,1423.8,60,1774881020.10,1774881083.92,63.82,93.6%,Yes,✓ Completed,34.8%
98,2135.7,60,1774881078.85,1774881142.59,63.75,93.8%,Yes,✓ Completed,52.1%
99,3203.6,60,1774881142.60,1774881206.48,63.89,93.5%,Yes,✓ Completed,78.2%
100,125.0,60,1774881145.16,1774881208.83,63.68,93.9%,Yes,✓ Completed,3.1%
101,187.5,60,1774881150.16,1774881213.84,63.67,93.9%,Yes,✓ Completed,4.6%
