PART 1 - THROUGHPUT ANALYSIS
Configuration:
  Simulation Duration: 1.0 hours (60.0 minutes)
  Container Duration: 60s (1m)
  Total Time Slots: 60.0 slots
  GPU Memory: 4096.0 MB
  Base Memory: 125.0 MB
  Multiplier: 1.5

Time Slot,Start Time (min),End Time (min),Container #,Memory (MB),Max Parallel at Time,Containers Running,Total Memory Used (MB),Remaining Capacity (MB),Can Launch Next?
1,0,1,1,125.0,3,3,125.0,3971.0,✓ YES
2,1,2,2,187.5,3,3,312.5,3783.5,✓ YES
3,2,3,3,281.2,3,3,593.8,3502.2,✓ YES
4,3,4,4,421.9,3,3,1015.6,3080.4,✓ YES
5,4,5,5,632.8,3,3,1648.4,2447.6,✓ YES
6,5,6,6,949.2,2,1.0,2597.7,1498.3,✓ YES
7,6,7,7,1423.8,2,1.0,1423.8,2672.2,✓ YES
8,7,8,8,2135.7,1,0.0,3559.6,536.4,✓ YES
9,8,9,9,3203.6,1,0,0.0,4096.0,✗ NO
10,9,10,9,3203.6,1,0.0,3203.6,892.4,✓ YES
11,10,11,10,4805.4,1,0,0.0,4096.0,✗ NO
12,11,12,10,4805.4,1,0,0.0,4096.0,✗ NO
13,12,13,10,4805.4,1,0,0.0,4096.0,✗ NO
14,13,14,10,4805.4,1,0,0.0,4096.0,✗ NO
15,14,15,10,4805.4,1,0,0.0,4096.0,✗ NO
16,15,16,10,4805.4,1,0,0.0,4096.0,✗ NO
17,16,17,10,4805.4,1,0,0.0,4096.0,✗ NO
18,17,18,10,4805.4,1,0,0.0,4096.0,✗ NO
19,18,19,10,4805.4,1,0,0.0,4096.0,✗ NO
20,19,20,10,4805.4,1,0,0.0,4096.0,✗ NO
21,20,21,10,4805.4,1,0,0.0,4096.0,✗ NO
22,21,22,10,4805.4,1,0,0.0,4096.0,✗ NO
23,22,23,10,4805.4,1,0,0.0,4096.0,✗ NO
24,23,24,10,4805.4,1,0,0.0,4096.0,✗ NO
25,24,25,10,4805.4,1,0,0.0,4096.0,✗ NO
26,25,26,10,4805.4,1,0,0.0,4096.0,✗ NO
27,26,27,10,4805.4,1,0,0.0,4096.0,✗ NO
28,27,28,10,4805.4,1,0,0.0,4096.0,✗ NO
29,28,29,10,4805.4,1,0,0.0,4096.0,✗ NO
30,29,30,10,4805.4,1,0,0.0,4096.0,✗ NO
31,30,31,10,4805.4,1,0,0.0,4096.0,✗ NO
32,31,32,10,4805.4,1,0,0.0,4096.0,✗ NO
33,32,33,10,4805.4,1,0,0.0,4096.0,✗ NO
34,33,34,10,4805.4,1,0,0.0,4096.0,✗ NO
35,34,35,10,4805.4,1,0,0.0,4096.0,✗ NO
36,35,36,10,4805.4,1,0,0.0,4096.0,✗ NO
37,36,37,10,4805.4,1,0,0.0,4096.0,✗ NO
38,37,38,10,4805.4,1,0,0.0,4096.0,✗ NO
39,38,39,10,4805.4,1,0,0.0,4096.0,✗ NO
40,39,40,10,4805.4,1,0,0.0,4096.0,✗ NO
41,40,41,10,4805.4,1,0,0.0,4096.0,✗ NO
42,41,42,10,4805.4,1,0,0.0,4096.0,✗ NO
43,42,43,10,4805.4,1,0,0.0,4096.0,✗ NO
44,43,44,10,4805.4,1,0,0.0,4096.0,✗ NO
45,44,45,10,4805.4,1,0,0.0,4096.0,✗ NO
46,45,46,10,4805.4,1,0,0.0,4096.0,✗ NO
47,46,47,10,4805.4,1,0,0.0,4096.0,✗ NO
48,47,48,10,4805.4,1,0,0.0,4096.0,✗ NO
49,48,49,10,4805.4,1,0,0.0,4096.0,✗ NO
50,49,50,10,4805.4,1,0,0.0,4096.0,✗ NO
51,50,51,10,4805.4,1,0,0.0,4096.0,✗ NO
52,51,52,10,4805.4,1,0,0.0,4096.0,✗ NO
53,52,53,10,4805.4,1,0,0.0,4096.0,✗ NO
54,53,54,10,4805.4,1,0,0.0,4096.0,✗ NO
55,54,55,10,4805.4,1,0,0.0,4096.0,✗ NO
56,55,56,10,4805.4,1,0,0.0,4096.0,✗ NO
57,56,57,10,4805.4,1,0,0.0,4096.0,✗ NO
58,57,58,10,4805.4,1,0,0.0,4096.0,✗ NO
59,58,59,10,4805.4,1,0,0.0,4096.0,✗ NO
60,59,60,10,4805.4,1,0,0.0,4096.0,✗ NO

PARALLELISM ANALYSIS - Maximum Containers Supported

Containers in Parallel,Memory Sum Formula,Max n Value,Feasible?
1,M(n) ≤ 4096,9,✓ YES
2,M(n) + M(n+1) ≤ 4096,7,✓ YES
3,M(n) + M(n+1) + M(n+2) ≤ 4096,5,✓ YES
