CHRONOLOGICAL EVENT TIMELINE
Complete scheduling events with container state transitions and memory status
Generated:,2026-03-30 14:45:42

CONFIGURATION
Base Memory:,125.0 MB
Memory Multiplier:,1.5x
Total GPU Memory:,4096.0 MB
Container Duration:,60s
Max Concurrent:,3
Reset Interval (cycle):,3

Time (s),Event,Container,Action,Active Containers,Memory Used (MB),Memory %,Free Memory (MB),Notes
1774878605.9,COMPLETION,C10,C10 completes (free 125 MB),C11,187.5,4.58%,3908.5,"Free C10, 1 still active"
1774878607.2,LAUNCH,C12,"Launch C12 (type 3/3, 281 MB)","C11, C12",468.8,11.44%,3627.2,"C12 starts, 2 now active"
1774878610.9,COMPLETION,C11,C11 completes (free 188 MB),C12,281.2,6.87%,3814.8,"Free C11, 1 still active"
1774878612.2,LAUNCH,C13,"Launch C13 (type 1/3, 422 MB)","C12, C13",703.1,17.17%,3392.9,"C13 starts, 2 now active"
1774878617.2,LAUNCH,C14,"Launch C14 (type 2/3, 633 MB)","C12, C13, C14",1335.9,32.62%,2760.1,"C14 starts, 3 now active"
1774878670.9,COMPLETION,C12,C12 completes (free 281 MB),"C13, C14",1054.7,25.75%,3041.3,"Free C12, 2 still active"
1774878672.3,LAUNCH,C15,"Launch C15 (type 3/3, 949 MB)","C13, C14, C15",2003.9,48.92%,2092.1,"C15 starts, 3 now active"
1774878675.9,COMPLETION,C13,C13 completes (free 422 MB),"C14, C15",1582.0,38.62%,2514.0,"Free C13, 2 still active"
1774878677.3,LAUNCH,C16,"Launch C16 (type 1/3, 1424 MB)","C14, C15, C16",3005.9,73.39%,1090.1,"C16 starts, 3 now active"
1774878680.9,COMPLETION,C14,C14 completes (free 633 MB),"C15, C16",2373.0,57.94%,1723.0,"Free C14, 2 still active"
1774878682.3,QUEUED,C17,"C17 queued (WAITING_MEMORY, needs 2136 MB)","C15, C16",2373.0,57.94%,1723.0,C17 blocked - WAITING_MEMORY (free 1723 < needed 2136)
1774878735.9,COMPLETION,C15,C15 completes (free 949 MB),C16,1423.8,34.76%,2672.2,"Free C15, 1 still active"
1774878735.9,LAUNCH,C17,"Launch C17 (type 2/3, 2136 MB)","C16, C17",3559.6,86.90%,536.4,"C17 starts, 2 now active"
1774878737.4,QUEUED,C18,"C18 queued (WAITING_MEMORY, needs 3204 MB)","C16, C17",3559.6,86.90%,536.4,C18 blocked - WAITING_MEMORY (free 536 < needed 3204)
1774878741.0,COMPLETION,C16,C16 completes (free 1424 MB),C17,2135.7,52.14%,1960.3,"Free C16, 1 still active"
1774878799.8,COMPLETION,C17,C17 completes (free 2136 MB),(empty),0.0,0.00%,4096.0,"Free C17, was queued for 1 event(s)"
1774878799.8,LAUNCH,C18,"Launch C18 (type 3/3, 3204 MB)",C18,3203.6,78.21%,892.4,C18 starts
1774878802.4,LAUNCH,C19,"Launch C19 (type 1/3, 125 MB)","C18, C19",3328.6,81.26%,767.4,"C19 starts, 2 now active"
1774878807.4,LAUNCH,C20,"Launch C20 (type 2/3, 188 MB)","C18, C19, C20",3516.1,85.84%,579.9,"C20 starts, 3 now active"
1774878863.4,COMPLETION,C18,C18 completes (free 3204 MB),"C19, C20",312.5,7.63%,3783.5,"Free C18, was queued for 1 event(s), 2 still active"
1774878866.2,COMPLETION,C19,C19 completes (free 125 MB),C20,187.5,4.58%,3908.5,"Free C19, 1 still active"
1774878867.5,LAUNCH,C21,"Launch C21 (type 3/3, 281 MB)","C20, C21",468.8,11.44%,3627.2,"C21 starts, 2 now active"
1774878871.1,COMPLETION,C20,C20 completes (free 188 MB),C21,281.2,6.87%,3814.8,"Free C20, 1 still active"
1774878872.5,LAUNCH,C22,"Launch C22 (type 1/3, 422 MB)","C21, C22",703.1,17.17%,3392.9,"C22 starts, 2 now active"
1774878877.5,LAUNCH,C23,"Launch C23 (type 2/3, 633 MB)","C21, C22, C23",1335.9,32.62%,2760.1,"C23 starts, 3 now active"
1774878931.2,COMPLETION,C21,C21 completes (free 281 MB),"C22, C23",1054.7,25.75%,3041.3,"Free C21, 2 still active"
1774878932.5,LAUNCH,C24,"Launch C24 (type 3/3, 949 MB)","C22, C23, C24",2003.9,48.92%,2092.1,"C24 starts, 3 now active"
1774878936.2,COMPLETION,C22,C22 completes (free 422 MB),"C23, C24",1582.0,38.62%,2514.0,"Free C22, 2 still active"
1774878937.6,LAUNCH,C25,"Launch C25 (type 1/3, 1424 MB)","C23, C24, C25",3005.9,73.39%,1090.1,"C25 starts, 3 now active"
1774878941.2,COMPLETION,C23,C23 completes (free 633 MB),"C24, C25",2373.0,57.94%,1723.0,"Free C23, 2 still active"
1774878942.6,QUEUED,C26,"C26 queued (WAITING_MEMORY, needs 2136 MB)","C24, C25",2373.0,57.94%,1723.0,C26 blocked - WAITING_MEMORY (free 1723 < needed 2136)
1774878996.3,COMPLETION,C24,C24 completes (free 949 MB),C25,1423.8,34.76%,2672.2,"Free C24, 1 still active"
1774878996.3,LAUNCH,C26,"Launch C26 (type 2/3, 2136 MB)","C25, C26",3559.6,86.90%,536.4,"C26 starts, 2 now active"
1774878997.6,QUEUED,C27,"C27 queued (WAITING_MEMORY, needs 3204 MB)","C25, C26",3559.6,86.90%,536.4,C27 blocked - WAITING_MEMORY (free 536 < needed 3204)
1774879001.3,COMPLETION,C25,C25 completes (free 1424 MB),C26,2135.7,52.14%,1960.3,"Free C25, 1 still active"
1774879059.9,COMPLETION,C26,C26 completes (free 2136 MB),(empty),0.0,0.00%,4096.0,"Free C26, was queued for 1 event(s)"
1774879059.9,LAUNCH,C27,"Launch C27 (type 3/3, 3204 MB)",C27,3203.6,78.21%,892.4,C27 starts
1774879062.7,LAUNCH,C28,"Launch C28 (type 1/3, 125 MB)","C27, C28",3328.6,81.26%,767.4,"C28 starts, 2 now active"
1774879067.7,LAUNCH,C29,"Launch C29 (type 2/3, 188 MB)","C27, C28, C29",3516.1,85.84%,579.9,"C29 starts, 3 now active"
1774879123.7,COMPLETION,C27,C27 completes (free 3204 MB),"C28, C29",312.5,7.63%,3783.5,"Free C27, was queued for 1 event(s), 2 still active"
1774879126.4,COMPLETION,C28,C28 completes (free 125 MB),C29,187.5,4.58%,3908.5,"Free C28, 1 still active"
1774879127.8,LAUNCH,C30,"Launch C30 (type 3/3, 281 MB)","C29, C30",468.8,11.44%,3627.2,"C30 starts, 2 now active"
1774879131.4,COMPLETION,C29,C29 completes (free 188 MB),C30,281.2,6.87%,3814.8,"Free C29, 1 still active"
1774879132.8,LAUNCH,C31,"Launch C31 (type 1/3, 422 MB)","C30, C31",703.1,17.17%,3392.9,"C31 starts, 2 now active"
1774879137.8,LAUNCH,C32,"Launch C32 (type 2/3, 633 MB)","C30, C31, C32",1335.9,32.62%,2760.1,"C32 starts, 3 now active"
1774879191.4,COMPLETION,C30,C30 completes (free 281 MB),"C31, C32",1054.7,25.75%,3041.3,"Free C30, 2 still active"
1774879192.8,LAUNCH,C33,"Launch C33 (type 3/3, 949 MB)","C31, C32, C33",2003.9,48.92%,2092.1,"C33 starts, 3 now active"
1774879196.5,COMPLETION,C31,C31 completes (free 422 MB),"C32, C33",1582.0,38.62%,2514.0,"Free C31, 2 still active"
1774879197.9,LAUNCH,C34,"Launch C34 (type 1/3, 1424 MB)","C32, C33, C34",3005.9,73.39%,1090.1,"C34 starts, 3 now active"
1774879201.4,COMPLETION,C32,C32 completes (free 633 MB),"C33, C34",2373.0,57.94%,1723.0,"Free C32, 2 still active"
1774879202.9,QUEUED,C35,"C35 queued (WAITING_MEMORY, needs 2136 MB)","C33, C34",2373.0,57.94%,1723.0,C35 blocked - WAITING_MEMORY (free 1723 < needed 2136)
1774879256.5,COMPLETION,C33,C33 completes (free 949 MB),C34,1423.8,34.76%,2672.2,"Free C33, 1 still active"
1774879256.5,LAUNCH,C35,"Launch C35 (type 2/3, 2136 MB)","C34, C35",3559.6,86.90%,536.4,"C35 starts, 2 now active"
1774879257.9,QUEUED,C36,"C36 queued (WAITING_MEMORY, needs 3204 MB)","C34, C35",3559.6,86.90%,536.4,C36 blocked - WAITING_MEMORY (free 536 < needed 3204)
1774879261.6,COMPLETION,C34,C34 completes (free 1424 MB),C35,2135.7,52.14%,1960.3,"Free C34, 1 still active"
1774879320.3,COMPLETION,C35,C35 completes (free 2136 MB),(empty),0.0,0.00%,4096.0,"Free C35, was queued for 1 event(s)"
1774879320.3,LAUNCH,C36,"Launch C36 (type 3/3, 3204 MB)",C36,3203.6,78.21%,892.4,C36 starts
1774879323.0,LAUNCH,C37,"Launch C37 (type 1/3, 125 MB)","C36, C37",3328.6,81.26%,767.4,"C37 starts, 2 now active"
1774879328.0,LAUNCH,C38,"Launch C38 (type 2/3, 188 MB)","C36, C37, C38",3516.1,85.84%,579.9,"C38 starts, 3 now active"
1774879384.1,COMPLETION,C36,C36 completes (free 3204 MB),"C37, C38",312.5,7.63%,3783.5,"Free C36, was queued for 1 event(s), 2 still active"
1774879386.9,COMPLETION,C37,C37 completes (free 125 MB),C38,187.5,4.58%,3908.5,"Free C37, 1 still active"
1774879388.1,LAUNCH,C39,"Launch C39 (type 3/3, 281 MB)","C38, C39",468.8,11.44%,3627.2,"C39 starts, 2 now active"
1774879391.8,COMPLETION,C38,C38 completes (free 188 MB),C39,281.2,6.87%,3814.8,"Free C38, 1 still active"
1774879393.1,LAUNCH,C40,"Launch C40 (type 1/3, 422 MB)","C39, C40",703.1,17.17%,3392.9,"C40 starts, 2 now active"
1774879398.1,LAUNCH,C41,"Launch C41 (type 2/3, 633 MB)","C39, C40, C41",1335.9,32.62%,2760.1,"C41 starts, 3 now active"
1774879451.8,COMPLETION,C39,C39 completes (free 281 MB),"C40, C41",1054.7,25.75%,3041.3,"Free C39, 2 still active"
1774879453.2,LAUNCH,C42,"Launch C42 (type 3/3, 949 MB)","C40, C41, C42",2003.9,48.92%,2092.1,"C42 starts, 3 now active"
1774879456.7,COMPLETION,C40,C40 completes (free 422 MB),"C41, C42",1582.0,38.62%,2514.0,"Free C40, 2 still active"
1774879458.2,LAUNCH,C43,"Launch C43 (type 1/3, 1424 MB)","C41, C42, C43",3005.9,73.39%,1090.1,"C43 starts, 3 now active"
1774879461.8,COMPLETION,C41,C41 completes (free 633 MB),"C42, C43",2373.0,57.94%,1723.0,"Free C41, 2 still active"
1774879463.2,QUEUED,C44,"C44 queued (WAITING_MEMORY, needs 2136 MB)","C42, C43",2373.0,57.94%,1723.0,C44 blocked - WAITING_MEMORY (free 1723 < needed 2136)
1774879516.9,COMPLETION,C42,C42 completes (free 949 MB),C43,1423.8,34.76%,2672.2,"Free C42, 1 still active"
1774879516.9,LAUNCH,C44,"Launch C44 (type 2/3, 2136 MB)","C43, C44",3559.6,86.90%,536.4,"C44 starts, 2 now active"
1774879518.3,QUEUED,C45,"C45 queued (WAITING_MEMORY, needs 3204 MB)","C43, C44",3559.6,86.90%,536.4,C45 blocked - WAITING_MEMORY (free 536 < needed 3204)
1774879521.9,COMPLETION,C43,C43 completes (free 1424 MB),C44,2135.7,52.14%,1960.3,"Free C43, 1 still active"
1774879580.7,COMPLETION,C44,C44 completes (free 2136 MB),(empty),0.0,0.00%,4096.0,"Free C44, was queued for 1 event(s)"
1774879580.7,LAUNCH,C45,"Launch C45 (type 3/3, 3204 MB)",C45,3203.6,78.21%,892.4,C45 starts
1774879583.3,LAUNCH,C46,"Launch C46 (type 1/3, 125 MB)","C45, C46",3328.6,81.26%,767.4,"C46 starts, 2 now active"
1774879588.4,LAUNCH,C47,"Launch C47 (type 2/3, 188 MB)","C45, C46, C47",3516.1,85.84%,579.9,"C47 starts, 3 now active"
1774879644.5,COMPLETION,C45,C45 completes (free 3204 MB),"C46, C47",312.5,7.63%,3783.5,"Free C45, was queued for 1 event(s), 2 still active"
1774879647.1,COMPLETION,C46,C46 completes (free 125 MB),C47,187.5,4.58%,3908.5,"Free C46, 1 still active"
1774879648.4,LAUNCH,C48,"Launch C48 (type 3/3, 281 MB)","C47, C48",468.8,11.44%,3627.2,"C48 starts, 2 now active"
1774879652.1,COMPLETION,C47,C47 completes (free 188 MB),C48,281.2,6.87%,3814.8,"Free C47, 1 still active"
1774879653.4,LAUNCH,C49,"Launch C49 (type 1/3, 422 MB)","C48, C49",703.1,17.17%,3392.9,"C49 starts, 2 now active"
1774879658.4,LAUNCH,C50,"Launch C50 (type 2/3, 633 MB)","C48, C49, C50",1335.9,32.62%,2760.1,"C50 starts, 3 now active"
1774879712.3,COMPLETION,C48,C48 completes (free 281 MB),"C49, C50",1054.7,25.75%,3041.3,"Free C48, 2 still active"
1774879713.5,LAUNCH,C51,"Launch C51 (type 3/3, 949 MB)","C49, C50, C51",2003.9,48.92%,2092.1,"C51 starts, 3 now active"
1774879717.1,COMPLETION,C49,C49 completes (free 422 MB),"C50, C51",1582.0,38.62%,2514.0,"Free C49, 2 still active"
1774879718.5,LAUNCH,C52,"Launch C52 (type 1/3, 1424 MB)","C50, C51, C52",3005.9,73.39%,1090.1,"C52 starts, 3 now active"
1774879722.2,COMPLETION,C50,C50 completes (free 633 MB),"C51, C52",2373.0,57.94%,1723.0,"Free C50, 2 still active"
1774879723.5,QUEUED,C53,"C53 queued (WAITING_MEMORY, needs 2136 MB)","C51, C52",2373.0,57.94%,1723.0,C53 blocked - WAITING_MEMORY (free 1723 < needed 2136)
1774879777.5,COMPLETION,C51,C51 completes (free 949 MB),C52,1423.8,34.76%,2672.2,"Free C51, 1 still active"
1774879777.5,LAUNCH,C53,"Launch C53 (type 2/3, 2136 MB)","C52, C53",3559.6,86.90%,536.4,"C53 starts, 2 now active"
1774879778.6,QUEUED,C54,"C54 queued (WAITING_MEMORY, needs 3204 MB)","C52, C53",3559.6,86.90%,536.4,C54 blocked - WAITING_MEMORY (free 536 < needed 3204)
1774879782.3,COMPLETION,C52,C52 completes (free 1424 MB),C53,2135.7,52.14%,1960.3,"Free C52, 1 still active"
1774879841.4,COMPLETION,C53,C53 completes (free 2136 MB),(empty),0.0,0.00%,4096.0,"Free C53, was queued for 1 event(s)"
1774879841.4,LAUNCH,C54,"Launch C54 (type 3/3, 3204 MB)",C54,3203.6,78.21%,892.4,C54 starts
1774879843.7,LAUNCH,C55,"Launch C55 (type 1/3, 125 MB)","C54, C55",3328.6,81.26%,767.4,"C55 starts, 2 now active"
1774879848.7,LAUNCH,C56,"Launch C56 (type 2/3, 188 MB)","C54, C55, C56",3516.1,85.84%,579.9,"C56 starts, 3 now active"
1774879905.2,COMPLETION,C54,C54 completes (free 3204 MB),"C55, C56",312.5,7.63%,3783.5,"Free C54, was queued for 1 event(s), 2 still active"
1774879907.4,COMPLETION,C55,C55 completes (free 125 MB),C56,187.5,4.58%,3908.5,"Free C55, 1 still active"
1774879908.8,LAUNCH,C57,"Launch C57 (type 3/3, 281 MB)","C56, C57",468.8,11.44%,3627.2,"C57 starts, 2 now active"
1774879912.4,COMPLETION,C56,C56 completes (free 188 MB),C57,281.2,6.87%,3814.8,"Free C56, 1 still active"
1774879913.8,LAUNCH,C58,"Launch C58 (type 1/3, 422 MB)","C57, C58",703.1,17.17%,3392.9,"C58 starts, 2 now active"
1774879918.8,LAUNCH,C59,"Launch C59 (type 2/3, 633 MB)","C57, C58, C59",1335.9,32.62%,2760.1,"C59 starts, 3 now active"
1774879972.4,COMPLETION,C57,C57 completes (free 281 MB),"C58, C59",1054.7,25.75%,3041.3,"Free C57, 2 still active"
1774879973.9,LAUNCH,C60,"Launch C60 (type 3/3, 949 MB)","C58, C59, C60",2003.9,48.92%,2092.1,"C60 starts, 3 now active"
1774879977.5,COMPLETION,C58,C58 completes (free 422 MB),"C59, C60",1582.0,38.62%,2514.0,"Free C58, 2 still active"
1774879978.9,LAUNCH,C61,"Launch C61 (type 1/3, 1424 MB)","C59, C60, C61",3005.9,73.39%,1090.1,"C61 starts, 3 now active"
1774879982.5,COMPLETION,C59,C59 completes (free 633 MB),"C60, C61",2373.0,57.94%,1723.0,"Free C59, 2 still active"
1774879983.9,QUEUED,C62,"C62 queued (WAITING_MEMORY, needs 2136 MB)","C60, C61",2373.0,57.94%,1723.0,C62 blocked - WAITING_MEMORY (free 1723 < needed 2136)
1774880037.5,COMPLETION,C60,C60 completes (free 949 MB),C61,1423.8,34.76%,2672.2,"Free C60, 1 still active"
1774880037.5,LAUNCH,C62,"Launch C62 (type 2/3, 2136 MB)","C61, C62",3559.6,86.90%,536.4,"C62 starts, 2 now active"
1774880039.0,QUEUED,C63,"C63 queued (WAITING_MEMORY, needs 3204 MB)","C61, C62",3559.6,86.90%,536.4,C63 blocked - WAITING_MEMORY (free 536 < needed 3204)
1774880042.7,COMPLETION,C61,C61 completes (free 1424 MB),C62,2135.7,52.14%,1960.3,"Free C61, 1 still active"
1774880101.2,COMPLETION,C62,C62 completes (free 2136 MB),(empty),0.0,0.00%,4096.0,"Free C62, was queued for 1 event(s)"
1774880101.2,LAUNCH,C63,"Launch C63 (type 3/3, 3204 MB)",C63,3203.6,78.21%,892.4,C63 starts
1774880104.1,LAUNCH,C64,"Launch C64 (type 1/3, 125 MB)","C63, C64",3328.6,81.26%,767.4,"C64 starts, 2 now active"
1774880109.1,LAUNCH,C65,"Launch C65 (type 2/3, 188 MB)","C63, C64, C65",3516.1,85.84%,579.9,"C65 starts, 3 now active"
1774880165.1,COMPLETION,C63,C63 completes (free 3204 MB),"C64, C65",312.5,7.63%,3783.5,"Free C63, was queued for 1 event(s), 2 still active"
1774880167.7,COMPLETION,C64,C64 completes (free 125 MB),C65,187.5,4.58%,3908.5,"Free C64, 1 still active"
1774880169.2,LAUNCH,C66,"Launch C66 (type 3/3, 281 MB)","C65, C66",468.8,11.44%,3627.2,"C66 starts, 2 now active"
1774880172.9,COMPLETION,C65,C65 completes (free 188 MB),C66,281.2,6.87%,3814.8,"Free C65, 1 still active"
1774880174.2,LAUNCH,C67,"Launch C67 (type 1/3, 422 MB)","C66, C67",703.1,17.17%,3392.9,"C67 starts, 2 now active"
1774880179.2,LAUNCH,C68,"Launch C68 (type 2/3, 633 MB)","C66, C67, C68",1335.9,32.62%,2760.1,"C68 starts, 3 now active"
1774880232.9,COMPLETION,C66,C66 completes (free 281 MB),"C67, C68",1054.7,25.75%,3041.3,"Free C66, 2 still active"
1774880234.3,LAUNCH,C69,"Launch C69 (type 3/3, 949 MB)","C67, C68, C69",2003.9,48.92%,2092.1,"C69 starts, 3 now active"
1774880237.8,COMPLETION,C67,C67 completes (free 422 MB),"C68, C69",1582.0,38.62%,2514.0,"Free C67, 2 still active"
1774880239.3,LAUNCH,C70,"Launch C70 (type 1/3, 1424 MB)","C68, C69, C70",3005.9,73.39%,1090.1,"C70 starts, 3 now active"
1774880243.0,COMPLETION,C68,C68 completes (free 633 MB),"C69, C70",2373.0,57.94%,1723.0,"Free C68, 2 still active"
1774880244.3,QUEUED,C71,"C71 queued (WAITING_MEMORY, needs 2136 MB)","C69, C70",2373.0,57.94%,1723.0,C71 blocked - WAITING_MEMORY (free 1723 < needed 2136)
1774880298.0,COMPLETION,C69,C69 completes (free 949 MB),C70,1423.8,34.76%,2672.2,"Free C69, 1 still active"
1774880298.0,LAUNCH,C71,"Launch C71 (type 2/3, 2136 MB)","C70, C71",3559.6,86.90%,536.4,"C71 starts, 2 now active"
1774880299.4,QUEUED,C72,"C72 queued (WAITING_MEMORY, needs 3204 MB)","C70, C71",3559.6,86.90%,536.4,C72 blocked - WAITING_MEMORY (free 536 < needed 3204)
1774880303.1,COMPLETION,C70,C70 completes (free 1424 MB),C71,2135.7,52.14%,1960.3,"Free C70, 1 still active"
1774880361.7,COMPLETION,C71,C71 completes (free 2136 MB),(empty),0.0,0.00%,4096.0,"Free C71, was queued for 1 event(s)"
1774880361.7,LAUNCH,C72,"Launch C72 (type 3/3, 3204 MB)",C72,3203.6,78.21%,892.4,C72 starts
1774880364.5,LAUNCH,C73,"Launch C73 (type 1/3, 125 MB)","C72, C73",3328.6,81.26%,767.4,"C73 starts, 2 now active"
1774880369.5,LAUNCH,C74,"Launch C74 (type 2/3, 188 MB)","C72, C73, C74",3516.1,85.84%,579.9,"C74 starts, 3 now active"
1774880425.5,COMPLETION,C72,C72 completes (free 3204 MB),"C73, C74",312.5,7.63%,3783.5,"Free C72, was queued for 1 event(s), 2 still active"
1774880428.3,COMPLETION,C73,C73 completes (free 125 MB),C74,187.5,4.58%,3908.5,"Free C73, 1 still active"
1774880429.6,LAUNCH,C75,"Launch C75 (type 3/3, 281 MB)","C74, C75",468.8,11.44%,3627.2,"C75 starts, 2 now active"
1774880433.2,COMPLETION,C74,C74 completes (free 188 MB),C75,281.2,6.87%,3814.8,"Free C74, 1 still active"
1774880434.6,LAUNCH,C76,"Launch C76 (type 1/3, 422 MB)","C75, C76",703.1,17.17%,3392.9,"C76 starts, 2 now active"
1774880439.6,LAUNCH,C77,"Launch C77 (type 2/3, 633 MB)","C75, C76, C77",1335.9,32.62%,2760.1,"C77 starts, 3 now active"
1774880493.3,COMPLETION,C75,C75 completes (free 281 MB),"C76, C77",1054.7,25.75%,3041.3,"Free C75, 2 still active"
1774880494.7,LAUNCH,C78,"Launch C78 (type 3/3, 949 MB)","C76, C77, C78",2003.9,48.92%,2092.1,"C78 starts, 3 now active"
1774880498.3,COMPLETION,C76,C76 completes (free 422 MB),"C77, C78",1582.0,38.62%,2514.0,"Free C76, 2 still active"
1774880499.7,LAUNCH,C79,"Launch C79 (type 1/3, 1424 MB)","C77, C78, C79",3005.9,73.39%,1090.1,"C79 starts, 3 now active"
1774880503.4,COMPLETION,C77,C77 completes (free 633 MB),"C78, C79",2373.0,57.94%,1723.0,"Free C77, 2 still active"
1774880504.7,QUEUED,C80,"C80 queued (WAITING_MEMORY, needs 2136 MB)","C78, C79",2373.0,57.94%,1723.0,C80 blocked - WAITING_MEMORY (free 1723 < needed 2136)
1774880558.5,COMPLETION,C78,C78 completes (free 949 MB),C79,1423.8,34.76%,2672.2,"Free C78, 1 still active"
1774880558.5,LAUNCH,C80,"Launch C80 (type 2/3, 2136 MB)","C79, C80",3559.6,86.90%,536.4,"C80 starts, 2 now active"
1774880559.8,QUEUED,C81,"C81 queued (WAITING_MEMORY, needs 3204 MB)","C79, C80",3559.6,86.90%,536.4,C81 blocked - WAITING_MEMORY (free 536 < needed 3204)
1774880563.4,COMPLETION,C79,C79 completes (free 1424 MB),C80,2135.7,52.14%,1960.3,"Free C79, 1 still active"
1774880622.1,COMPLETION,C80,C80 completes (free 2136 MB),(empty),0.0,0.00%,4096.0,"Free C80, was queued for 1 event(s)"
1774880622.1,LAUNCH,C81,"Launch C81 (type 3/3, 3204 MB)",C81,3203.6,78.21%,892.4,C81 starts
1774880624.9,LAUNCH,C82,"Launch C82 (type 1/3, 125 MB)","C81, C82",3328.6,81.26%,767.4,"C82 starts, 2 now active"
1774880629.9,LAUNCH,C83,"Launch C83 (type 2/3, 188 MB)","C81, C82, C83",3516.1,85.84%,579.9,"C83 starts, 3 now active"
1774880685.9,COMPLETION,C81,C81 completes (free 3204 MB),"C82, C83",312.5,7.63%,3783.5,"Free C81, was queued for 1 event(s), 2 still active"
1774880688.6,COMPLETION,C82,C82 completes (free 125 MB),C83,187.5,4.58%,3908.5,"Free C82, 1 still active"
1774880689.9,LAUNCH,C84,"Launch C84 (type 3/3, 281 MB)","C83, C84",468.8,11.44%,3627.2,"C84 starts, 2 now active"
1774880693.5,COMPLETION,C83,C83 completes (free 188 MB),C84,281.2,6.87%,3814.8,"Free C83, 1 still active"
1774880694.9,LAUNCH,C85,"Launch C85 (type 1/3, 422 MB)","C84, C85",703.1,17.17%,3392.9,"C85 starts, 2 now active"
1774880699.9,LAUNCH,C86,"Launch C86 (type 2/3, 633 MB)","C84, C85, C86",1335.9,32.62%,2760.1,"C86 starts, 3 now active"
1774880753.6,COMPLETION,C84,C84 completes (free 281 MB),"C85, C86",1054.7,25.75%,3041.3,"Free C84, 2 still active"
1774880754.9,LAUNCH,C87,"Launch C87 (type 3/3, 949 MB)","C85, C86, C87",2003.9,48.92%,2092.1,"C87 starts, 3 now active"
1774880758.6,COMPLETION,C85,C85 completes (free 422 MB),"C86, C87",1582.0,38.62%,2514.0,"Free C85, 2 still active"
