CHRONOLOGICAL EVENT TIMELINE
Complete scheduling events with container state transitions and memory status
Generated:,2026-03-30 14:45:42

CONFIGURATION
Base Memory:,125.0 MB
Memory Multiplier:,1.5x
Total GPU Memory:,4096.0 MB
Container Duration:,60s
Max Concurrent:,3
Reset Interval (cycle):,3

Time (s),Event,Container,Action,Active Containers,Memory Used (MB),Memory %,Free Memory (MB),Notes
1774878337.0,LAUNCH,C1,"Launch C1 (type 1/3, 125 MB)",C1,125.0,3.05%,3971.0,C1 starts
1774878342.0,LAUNCH,C2,"Launch C2 (type 2/3, 188 MB)","C1, C2",312.5,7.63%,3783.5,"C2 starts, 2 now active"
1774878347.0,LAUNCH,C3,"Launch C3 (type 3/3, 281 MB)","C1, C2, C3",593.8,14.50%,3502.2,"C3 starts, 3 now active"
1774878400.8,COMPLETION,C1,C1 completes (free 125 MB),"C2, C3",468.8,11.44%,3627.2,"Free C1, 2 still active"
1774878402.0,LAUNCH,C4,"Launch C4 (type 1/3, 422 MB)","C2, C3, C4",890.6,21.74%,3205.4,"C4 starts, 3 now active"
1774878405.6,COMPLETION,C2,C2 completes (free 188 MB),"C3, C4",703.1,17.17%,3392.9,"Free C2, 2 still active"
1774878407.0,LAUNCH,C5,"Launch C5 (type 2/3, 633 MB)","C3, C4, C5",1335.9,32.62%,2760.1,"C5 starts, 3 now active"
1774878410.6,COMPLETION,C3,C3 completes (free 281 MB),"C4, C5",1054.7,25.75%,3041.3,"Free C3, 2 still active"
1774878412.0,LAUNCH,C6,"Launch C6 (type 3/3, 949 MB)","C4, C5, C6",2003.9,48.92%,2092.1,"C6 starts, 3 now active"
1774878465.7,COMPLETION,C4,C4 completes (free 422 MB),"C5, C6",1582.0,38.62%,2514.0,"Free C4, 2 still active"
1774878467.1,LAUNCH,C7,"Launch C7 (type 1/3, 1424 MB)","C5, C6, C7",3005.9,73.39%,1090.1,"C7 starts, 3 now active"
1774878470.8,COMPLETION,C5,C5 completes (free 633 MB),"C6, C7",2373.0,57.94%,1723.0,"Free C5, 2 still active"
1774878472.1,QUEUED,C8,"C8 queued (WAITING_MEMORY, needs 2136 MB)","C6, C7",2373.0,57.94%,1723.0,C8 blocked - WAITING_MEMORY (free 1723 < needed 2136)
1774878475.8,COMPLETION,C6,C6 completes (free 949 MB),C7,1423.8,34.76%,2672.2,"Free C6, 1 still active"
1774878475.8,LAUNCH,C8,"Launch C8 (type 2/3, 2136 MB)","C7, C8",3559.6,86.90%,536.4,"C8 starts, 2 now active"
1774878477.1,QUEUED,C9,"C9 queued (WAITING_MEMORY, needs 3204 MB)","C7, C8",3559.6,86.90%,536.4,C9 blocked - WAITING_MEMORY (free 536 < needed 3204)
1774878530.8,COMPLETION,C7,C7 completes (free 1424 MB),C8,2135.7,52.14%,1960.3,"Free C7, 1 still active"
1774878539.6,COMPLETION,C8,C8 completes (free 2136 MB),(empty),0.0,0.00%,4096.0,"Free C8, was queued for 1 event(s)"
1774878539.6,LAUNCH,C9,"Launch C9 (type 3/3, 3204 MB)",C9,3203.6,78.21%,892.4,C9 starts
1774878542.2,LAUNCH,C10,"Launch C10 (type 1/3, 125 MB)","C9, C10",3328.6,81.26%,767.4,"C10 starts, 2 now active"
1774878547.2,LAUNCH,C11,"Launch C11 (type 2/3, 188 MB)","C9, C10, C11",3516.1,85.84%,579.9,"C11 starts, 3 now active"
1774878603.4,COMPLETION,C9,C9 completes (free 3204 MB),"C10, C11",312.5,7.63%,3783.5,"Free C9, was queued for 1 event(s), 2 still active"
