COMPREHENSIVE EXECUTION SCHEDULE
Complete container lifecycle with concurrent execution details
Generated:,2026-03-30 17:24:28

CONFIGURATION
Base Memory:,10.0 MB
Memory Multiplier:,1.5x
Total GPU Memory:,4096.0 MB
Container Duration:,60s
Max Concurrent:,3
Reset Interval (cycle):,3

INDIVIDUAL CONTAINER EXECUTION
Container ID,Memory (MB),Type (n/cycle),Launch Time (s),Completion Time (s),Duration Actual (s),Status,State Count,Peak Concurrent,Overlapping Containers
1,10.0,1/3,0.00,63.89,63.89,✓ COMPLETED,5,2,"C2, C3"
2,15.0,2/3,5.01,68.62,63.61,✓ COMPLETED,5,3,"C1, C3, C4"
3,22.5,3/3,10.02,73.79,63.78,✓ COMPLETED,5,4,"C1, C2, C4, C5"
4,33.8,1/3,65.06,128.89,63.83,✓ COMPLETED,5,4,"C2, C3, C5, C6"
5,50.6,2/3,70.07,133.70,63.63,✓ COMPLETED,5,4,"C3, C4, C6, C7"
6,75.9,3/3,75.08,138.95,63.88,✓ COMPLETED,5,4,"C4, C5, C7, C8"
7,113.9,1/3,130.12,193.71,63.59,✓ COMPLETED,5,4,"C5, C6, C8, C9"
8,170.9,2/3,135.13,198.83,63.70,✓ COMPLETED,5,4,"C6, C7, C9, C10"
9,256.3,3/3,140.14,203.88,63.75,✓ COMPLETED,5,4,"C7, C8, C10, C11"
10,384.4,1/3,195.19,258.87,63.68,✓ COMPLETED,5,4,"C8, C9, C11, C12"
11,576.7,2/3,200.19,264.02,63.82,✓ COMPLETED,5,4,"C9, C10, C12, C13"
12,865.0,3/3,205.20,268.84,63.64,✓ COMPLETED,5,3,"C10, C11, C13"
13,1297.5,1/3,260.27,323.88,63.62,✓ COMPLETED,5,3,"C11, C12, C14"
14,1946.2,2/3,268.84,332.53,63.69,✓ COMPLETED,5,1,C13
15,2919.3,3/3,332.53,396.30,63.76,✓ COMPLETED,5,2,"C16, C17"
16,10.0,1/3,335.33,399.13,63.80,✓ COMPLETED,5,2,"C15, C17"
17,15.0,2/3,340.34,404.03,63.69,✓ COMPLETED,5,3,"C15, C16, C18"
18,22.5,3/3,400.41,464.05,63.64,✓ COMPLETED,5,3,"C17, C19, C20"
19,33.8,1/3,405.42,469.14,63.72,✓ COMPLETED,5,3,"C18, C20, C21"
20,50.6,2/3,410.42,474.09,63.67,✓ COMPLETED,5,4,"C18, C19, C21, C22"
21,75.9,3/3,465.48,529.16,63.68,✓ COMPLETED,5,4,"C19, C20, C22, C23"
22,113.9,1/3,470.48,534.29,63.81,✓ COMPLETED,5,4,"C20, C21, C23, C24"
23,170.9,2/3,475.48,539.09,63.61,✓ COMPLETED,5,4,"C21, C22, C24, C25"
24,256.3,3/3,530.55,594.29,63.73,✓ COMPLETED,5,4,"C22, C23, C25, C26"
25,384.4,1/3,535.56,599.30,63.74,✓ COMPLETED,5,4,"C23, C24, C26, C27"
26,576.7,2/3,540.57,604.32,63.75,✓ COMPLETED,5,4,"C24, C25, C27, C28"
27,865.0,3/3,595.64,659.34,63.70,✓ COMPLETED,5,3,"C25, C26, C28"
28,1297.5,1/3,600.64,664.53,63.88,✓ COMPLETED,5,3,"C26, C27, C29"
29,1946.2,2/3,659.34,723.06,63.72,✓ COMPLETED,5,1,C28
30,2919.3,3/3,723.06,786.84,63.78,✓ COMPLETED,5,2,"C31, C32"
31,10.0,1/3,725.78,789.54,63.75,✓ COMPLETED,5,2,"C30, C32"
32,15.0,2/3,730.78,794.70,63.92,✓ COMPLETED,5,3,"C30, C31, C33"
33,22.5,3/3,790.86,854.68,63.82,✓ COMPLETED,5,3,"C32, C34, C35"
34,33.8,1/3,795.87,859.49,63.62,✓ COMPLETED,5,3,"C33, C35, C36"
35,50.6,2/3,800.88,864.61,63.73,✓ COMPLETED,5,4,"C33, C34, C36, C37"
36,75.9,3/3,855.94,919.66,63.72,✓ COMPLETED,5,4,"C34, C35, C37, C38"
37,113.9,1/3,860.95,924.58,63.63,✓ COMPLETED,5,4,"C35, C36, C38, C39"
38,170.9,2/3,865.95,929.70,63.75,✓ COMPLETED,5,4,"C36, C37, C39, C40"
39,256.3,3/3,921.03,984.72,63.70,✓ COMPLETED,5,4,"C37, C38, C40, C41"
40,384.4,1/3,926.03,989.68,63.66,✓ COMPLETED,5,4,"C38, C39, C41, C42"
41,576.7,2/3,931.03,994.85,63.82,✓ COMPLETED,5,4,"C39, C40, C42, C43"
42,865.0,3/3,986.10,1049.81,63.71,✓ COMPLETED,5,3,"C40, C41, C43"
43,1297.5,1/3,991.10,1054.77,63.66,✓ COMPLETED,5,3,"C41, C42, C44"
44,1946.2,2/3,1049.81,1113.55,63.74,✓ COMPLETED,5,1,C43
45,2919.3,3/3,1113.55,1177.38,63.83,✓ COMPLETED,5,2,"C46, C47"
46,10.0,1/3,1116.28,1179.99,63.71,✓ COMPLETED,5,2,"C45, C47"
47,15.0,2/3,1121.28,1184.94,63.66,✓ COMPLETED,5,3,"C45, C46, C48"
48,22.5,3/3,1181.36,1245.00,63.64,✓ COMPLETED,5,3,"C47, C49, C50"
49,33.8,1/3,1186.36,1250.11,63.75,✓ COMPLETED,5,3,"C48, C50, C51"
50,50.6,2/3,1191.36,1254.95,63.59,✓ COMPLETED,5,4,"C48, C49, C51, C52"
51,75.9,3/3,1246.45,1310.17,63.72,✓ COMPLETED,5,4,"C49, C50, C52, C53"
52,113.9,1/3,1251.45,1315.10,63.65,✓ COMPLETED,5,4,"C50, C51, C53, C54"
53,170.9,2/3,1256.45,1320.15,63.70,✓ COMPLETED,5,4,"C51, C52, C54, C55"
54,256.3,3/3,1311.54,1375.23,63.69,✓ COMPLETED,5,4,"C52, C53, C55, C56"
55,384.4,1/3,1316.54,1380.23,63.69,✓ COMPLETED,5,4,"C53, C54, C56, C57"
56,576.7,2/3,1321.55,1385.35,63.81,✓ COMPLETED,5,4,"C54, C55, C57, C58"
57,865.0,3/3,1376.63,1440.41,63.77,✓ COMPLETED,5,3,"C55, C56, C58"
58,1297.5,1/3,1381.64,1445.35,63.71,✓ COMPLETED,5,3,"C56, C57, C59"
59,1946.2,2/3,1440.41,1504.07,63.66,✓ COMPLETED,5,1,C58
60,2919.3,3/3,1504.07,1567.81,63.74,✓ COMPLETED,5,2,"C61, C62"
61,10.0,1/3,1506.81,1570.55,63.74,✓ COMPLETED,5,2,"C60, C62"
