COMPREHENSIVE EXECUTION SCHEDULE
Complete container lifecycle with concurrent execution details
Generated:,2026-03-30 17:24:28

CONFIGURATION
Base Memory:,10.0 MB
Memory Multiplier:,1.5x
Total GPU Memory:,4096.0 MB
Container Duration:,60s
Max Concurrent:,3
Reset Interval (cycle):,3

INDIVIDUAL CONTAINER EXECUTION
Container ID,Memory (MB),Type (n/cycle),Launch Time (s),Completion Time (s),Duration Actual (s),Status,State Count,Peak Concurrent,Overlapping Containers
62,15.0,2/3,1511.81,1575.53,63.72,✓ COMPLETED,5,3,"C60, C61, C63"
63,22.5,3/3,1571.90,1635.51,63.61,✓ COMPLETED,5,3,"C62, C64, C65"
64,33.8,1/3,1576.91,1640.50,63.59,✓ COMPLETED,5,3,"C63, C65, C66"
65,50.6,2/3,1581.91,1645.67,63.76,✓ COMPLETED,5,4,"C63, C64, C66, C67"
66,75.9,3/3,1636.98,1700.59,63.60,✓ COMPLETED,5,4,"C64, C65, C67, C68"
67,113.9,1/3,1641.99,1705.67,63.69,✓ COMPLETED,5,4,"C65, C66, C68, C69"
68,170.9,2/3,1646.99,1710.63,63.64,✓ COMPLETED,5,4,"C66, C67, C69, C70"
69,256.3,3/3,1702.06,1765.76,63.70,✓ COMPLETED,5,4,"C67, C68, C70, C71"
70,384.4,1/3,1707.06,1770.71,63.65,✓ COMPLETED,5,4,"C68, C69, C71, C72"
71,576.7,2/3,1712.06,1775.75,63.69,✓ COMPLETED,5,4,"C69, C70, C72, C73"
72,865.0,3/3,1767.12,1830.91,63.79,✓ COMPLETED,5,3,"C70, C71, C73"
73,1297.5,1/3,1772.13,1835.90,63.77,✓ COMPLETED,5,3,"C71, C72, C74"
74,1946.2,2/3,1830.91,1894.67,63.75,✓ COMPLETED,5,1,C73
75,2919.3,3/3,1894.67,1958.41,63.74,✓ COMPLETED,5,2,"C76, C77"
76,10.0,1/3,1897.29,1960.96,63.67,✓ COMPLETED,5,2,"C75, C77"
77,15.0,2/3,1902.30,1965.97,63.67,✓ COMPLETED,5,3,"C75, C76, C78"
78,22.5,3/3,1962.33,2026.08,63.75,✓ COMPLETED,5,3,"C77, C79, C80"
79,33.8,1/3,1967.33,2030.90,63.57,✓ COMPLETED,5,3,"C78, C80, C81"
80,50.6,2/3,1972.34,2035.98,63.65,✓ COMPLETED,5,4,"C78, C79, C81, C82"
81,75.9,3/3,2027.37,2091.01,63.64,✓ COMPLETED,5,4,"C79, C80, C82, C83"
82,113.9,1/3,2032.38,2095.99,63.61,✓ COMPLETED,5,4,"C80, C81, C83, C84"
83,170.9,2/3,2037.38,2101.12,63.73,✓ COMPLETED,5,4,"C81, C82, C84, C85"
84,256.3,3/3,2092.43,2156.11,63.68,✓ COMPLETED,5,4,"C82, C83, C85, C86"
85,384.4,1/3,2097.44,2161.12,63.68,✓ COMPLETED,5,4,"C83, C84, C86, C87"
86,576.7,2/3,2102.44,2166.14,63.70,✓ COMPLETED,5,4,"C84, C85, C87, C88"
87,865.0,3/3,2157.48,2221.30,63.82,✓ COMPLETED,5,3,"C85, C86, C88"
88,1297.5,1/3,2162.48,2226.22,63.73,✓ COMPLETED,5,3,"C86, C87, C89"
89,1946.2,2/3,2221.30,2285.11,63.81,✓ COMPLETED,5,1,C88
90,2919.3,3/3,2285.11,2348.85,63.74,✓ COMPLETED,5,2,"C91, C92"
91,10.0,1/3,2287.60,2351.24,63.65,✓ COMPLETED,5,2,"C90, C92"
92,15.0,2/3,2292.60,2356.53,63.93,✓ COMPLETED,5,3,"C90, C91, C93"
93,22.5,3/3,2352.63,2416.42,63.79,✓ COMPLETED,5,3,"C92, C94, C95"
94,33.8,1/3,2357.64,2421.29,63.65,✓ COMPLETED,5,3,"C93, C95, C96"
95,50.6,2/3,2362.65,2426.52,63.87,✓ COMPLETED,5,4,"C93, C94, C96, C97"
96,75.9,3/3,2417.67,2481.49,63.82,✓ COMPLETED,5,4,"C94, C95, C97, C98"
97,113.9,1/3,2422.67,2486.38,63.71,✓ COMPLETED,5,4,"C95, C96, C98, C99"
98,170.9,2/3,2427.68,2491.38,63.71,✓ COMPLETED,5,4,"C96, C97, C99, C100"
99,256.3,3/3,2482.70,2546.38,63.68,✓ COMPLETED,5,4,"C97, C98, C100, C101"
100,384.4,1/3,2487.70,2551.56,63.85,✓ COMPLETED,5,4,"C98, C99, C101, C102"
101,576.7,2/3,2492.71,2556.34,63.63,✓ COMPLETED,5,4,"C99, C100, C102, C103"
102,865.0,3/3,2547.74,2611.60,63.86,✓ COMPLETED,5,3,"C100, C101, C103"
103,1297.5,1/3,2552.75,2616.56,63.81,✓ COMPLETED,5,3,"C101, C102, C104"
104,1946.2,2/3,2611.60,2675.35,63.75,✓ COMPLETED,5,1,C103
105,2919.3,3/3,2675.35,2739.14,63.79,✓ COMPLETED,5,2,"C106, C107"
106,10.0,1/3,2677.82,2741.53,63.72,✓ COMPLETED,5,2,"C105, C107"
107,15.0,2/3,2682.82,2746.61,63.79,✓ COMPLETED,5,3,"C105, C106, C108"
108,22.5,3/3,2742.85,2806.71,63.86,✓ COMPLETED,5,3,"C107, C109, C110"
109,33.8,1/3,2747.86,2811.59,63.73,✓ COMPLETED,5,3,"C108, C110, C111"
110,50.6,2/3,2752.86,2816.68,63.81,✓ COMPLETED,5,4,"C108, C109, C111, C112"
111,75.9,3/3,2807.91,2871.64,63.74,✓ COMPLETED,5,4,"C109, C110, C112, C113"
112,113.9,1/3,2812.91,2876.49,63.58,✓ COMPLETED,5,4,"C110, C111, C113, C114"
113,170.9,2/3,2817.91,2881.60,63.69,✓ COMPLETED,5,4,"C111, C112, C114, C115"
114,256.3,3/3,2872.95,2936.62,63.67,✓ COMPLETED,5,4,"C112, C113, C115, C116"
115,384.4,1/3,2877.96,2941.82,63.86,✓ COMPLETED,5,4,"C113, C114, C116, C117"
116,576.7,2/3,2882.96,2946.69,63.73,✓ COMPLETED,5,4,"C114, C115, C117, C118"
117,865.0,3/3,2937.99,3001.68,63.68,✓ COMPLETED,5,3,"C115, C116, C118"
118,1297.5,1/3,2943.00,3006.79,63.79,✓ COMPLETED,5,3,"C116, C117, C119"
119,1946.2,2/3,3001.68,3065.35,63.67,✓ COMPLETED,5,1,C118
120,2919.3,3/3,3065.35,3129.14,63.79,✓ COMPLETED,5,2,"C121, C122"
121,10.0,1/3,3068.08,3131.73,63.66,✓ COMPLETED,5,2,"C120, C122"
122,15.0,2/3,3073.08,3136.96,63.88,✓ COMPLETED,5,3,"C120, C121, C123"
123,22.5,3/3,3133.13,3196.87,63.73,✓ COMPLETED,5,3,"C122, C124, C125"
124,33.8,1/3,3138.14,3201.78,63.64,✓ COMPLETED,5,3,"C123, C125, C126"
125,50.6,2/3,3143.15,3207.03,63.89,✓ COMPLETED,5,4,"C123, C124, C126, C127"
126,75.9,3/3,3198.18,3261.79,63.60,✓ COMPLETED,5,4,"C124, C125, C127, C128"
127,113.9,1/3,3203.19,3266.91,63.72,✓ COMPLETED,5,4,"C125, C126, C128, C129"
128,170.9,2/3,3208.20,3271.92,63.72,✓ COMPLETED,5,4,"C126, C127, C129, C130"
129,256.3,3/3,3263.24,3326.94,63.70,✓ COMPLETED,5,4,"C127, C128, C130, C131"
130,384.4,1/3,3268.25,3331.95,63.70,✓ COMPLETED,5,4,"C128, C129, C131, C132"
131,576.7,2/3,3273.26,3336.92,63.66,✓ COMPLETED,5,4,"C129, C130, C132, C133"
132,865.0,3/3,3328.30,3392.09,63.79,✓ COMPLETED,5,3,"C130, C131, C133"
133,1297.5,1/3,3333.30,3397.02,63.72,✓ COMPLETED,5,3,"C131, C132, C134"
134,1946.2,2/3,3392.09,3455.88,63.78,✓ COMPLETED,5,1,C133
135,2919.3,3/3,3455.88,3519.67,63.80,✓ COMPLETED,5,2,"C136, C137"
136,10.0,1/3,3458.42,3522.11,63.69,✓ COMPLETED,5,2,"C135, C137"
137,15.0,2/3,3463.42,3527.03,63.61,✓ COMPLETED,5,3,"C135, C136, C138"
138,22.5,3/3,3523.48,3587.14,63.66,✓ COMPLETED,5,3,"C137, C139, C140"
139,33.8,1/3,3528.48,3592.08,63.60,✓ COMPLETED,5,2,"C138, C140"
140,50.6,2/3,3533.49,3597.23,63.74,✓ COMPLETED,5,2,"C138, C139"
141,75.9,3/3,3588.54,N/A,N/A,RUNNING,3,0,None
142,113.9,1/3,3593.54,N/A,N/A,RUNNING,3,0,None
143,170.9,2/3,3598.54,N/A,N/A,RUNNING,3,0,None

CONCURRENT EXECUTION ANALYSIS
Time Point (s),Concurrent Count,Container IDs,Total Memory (MB),Memory %,Remaining (MB),Event Type
0.00,1,C1,10.0,0.24%,4086.0,LAUNCH
5.01,2,"C1, C2",25.0,0.61%,4071.0,LAUNCH
10.02,3,"C1, C2, C3",47.5,1.16%,4048.5,LAUNCH
63.89,2,"C2, C3",37.5,0.92%,4058.5,LAUNCH
65.06,3,"C2, C3, C4",71.2,1.74%,4024.8,LAUNCH
68.62,2,"C3, C4",56.2,1.37%,4039.8,LAUNCH
70.07,3,"C3, C4, C5",106.9,2.61%,3989.1,LAUNCH
73.79,2,"C4, C5",84.4,2.06%,4011.6,LAUNCH
75.08,3,"C4, C5, C6",160.3,3.91%,3935.7,LAUNCH
128.89,2,"C5, C6",126.6,3.09%,3969.4,LAUNCH
130.12,3,"C5, C6, C7",240.5,5.87%,3855.5,LAUNCH
133.70,2,"C6, C7",189.8,4.63%,3906.2,LAUNCH
135.13,3,"C6, C7, C8",360.7,8.81%,3735.3,LAUNCH
138.95,2,"C7, C8",284.8,6.95%,3811.2,LAUNCH
140.14,3,"C7, C8, C9",541.1,13.21%,3554.9,LAUNCH
193.71,2,"C8, C9",427.1,10.43%,3668.9,LAUNCH
195.19,3,"C8, C9, C10",811.6,19.81%,3284.4,LAUNCH
198.83,2,"C9, C10",640.7,15.64%,3455.3,LAUNCH
200.19,3,"C9, C10, C11",1217.4,29.72%,2878.6,LAUNCH
203.88,2,"C10, C11",961.1,23.46%,3134.9,LAUNCH
205.20,3,"C10, C11, C12",1826.1,44.58%,2269.9,LAUNCH
258.87,2,"C11, C12",1441.6,35.20%,2654.4,LAUNCH
260.27,3,"C11, C12, C13",2739.1,66.87%,1356.9,LAUNCH
264.02,2,"C12, C13",2162.4,52.79%,1933.6,LAUNCH
268.84,1,C13,1297.5,31.68%,2798.5,LAUNCH
268.84,2,"C13, C14",3243.7,79.19%,852.3,LAUNCH
323.88,1,C14,1946.2,47.51%,2149.8,LAUNCH
332.53,1,C15,2919.3,71.27%,1176.7,LAUNCH
335.33,2,"C15, C16",2929.3,71.52%,1166.7,LAUNCH
340.34,3,"C15, C16, C17",2944.3,71.88%,1151.7,LAUNCH
396.30,2,"C16, C17",25.0,0.61%,4071.0,LAUNCH
399.13,1,C17,15.0,0.37%,4081.0,LAUNCH
400.41,2,"C17, C18",37.5,0.92%,4058.5,LAUNCH
404.03,1,C18,22.5,0.55%,4073.5,LAUNCH
405.42,2,"C18, C19",56.2,1.37%,4039.8,LAUNCH
410.42,3,"C18, C19, C20",106.9,2.61%,3989.1,LAUNCH
464.05,2,"C19, C20",84.4,2.06%,4011.6,LAUNCH
465.48,3,"C19, C20, C21",160.3,3.91%,3935.7,LAUNCH
469.14,2,"C20, C21",126.6,3.09%,3969.4,LAUNCH
470.48,3,"C20, C21, C22",240.5,5.87%,3855.5,LAUNCH
474.09,2,"C21, C22",189.8,4.63%,3906.2,LAUNCH
475.48,3,"C21, C22, C23",360.7,8.81%,3735.3,LAUNCH
529.16,2,"C22, C23",284.8,6.95%,3811.2,LAUNCH
530.55,3,"C22, C23, C24",541.1,13.21%,3554.9,LAUNCH
534.29,2,"C23, C24",427.1,10.43%,3668.9,LAUNCH
535.56,3,"C23, C24, C25",811.6,19.81%,3284.4,LAUNCH
539.09,2,"C24, C25",640.7,15.64%,3455.3,LAUNCH
540.57,3,"C24, C25, C26",1217.4,29.72%,2878.6,LAUNCH
594.29,2,"C25, C26",961.1,23.46%,3134.9,LAUNCH
595.64,3,"C25, C26, C27",1826.1,44.58%,2269.9,LAUNCH
599.30,2,"C26, C27",1441.6,35.20%,2654.4,LAUNCH
600.64,3,"C26, C27, C28",2739.1,66.87%,1356.9,LAUNCH
604.32,2,"C27, C28",2162.4,52.79%,1933.6,LAUNCH
659.34,1,C28,1297.5,31.68%,2798.5,LAUNCH
659.34,2,"C28, C29",3243.7,79.19%,852.3,LAUNCH
664.53,1,C29,1946.2,47.51%,2149.8,LAUNCH
723.06,1,C30,2919.3,71.27%,1176.7,LAUNCH
725.78,2,"C30, C31",2929.3,71.52%,1166.7,LAUNCH
730.78,3,"C30, C31, C32",2944.3,71.88%,1151.7,LAUNCH
786.84,2,"C31, C32",25.0,0.61%,4071.0,LAUNCH
789.54,1,C32,15.0,0.37%,4081.0,LAUNCH
790.86,2,"C32, C33",37.5,0.92%,4058.5,LAUNCH
794.70,1,C33,22.5,0.55%,4073.5,LAUNCH
795.87,2,"C33, C34",56.2,1.37%,4039.8,LAUNCH
800.88,3,"C33, C34, C35",106.9,2.61%,3989.1,LAUNCH
854.68,2,"C34, C35",84.4,2.06%,4011.6,LAUNCH
855.94,3,"C34, C35, C36",160.3,3.91%,3935.7,LAUNCH
859.49,2,"C35, C36",126.6,3.09%,3969.4,LAUNCH
860.95,3,"C35, C36, C37",240.5,5.87%,3855.5,LAUNCH
864.61,2,"C36, C37",189.8,4.63%,3906.2,LAUNCH
865.95,3,"C36, C37, C38",360.7,8.81%,3735.3,LAUNCH
919.66,2,"C37, C38",284.8,6.95%,3811.2,LAUNCH
921.03,3,"C37, C38, C39",541.1,13.21%,3554.9,LAUNCH
924.58,2,"C38, C39",427.1,10.43%,3668.9,LAUNCH
926.03,3,"C38, C39, C40",811.6,19.81%,3284.4,LAUNCH
929.70,2,"C39, C40",640.7,15.64%,3455.3,LAUNCH
931.03,3,"C39, C40, C41",1217.4,29.72%,2878.6,LAUNCH
984.72,2,"C40, C41",961.1,23.46%,3134.9,LAUNCH
986.10,3,"C40, C41, C42",1826.1,44.58%,2269.9,LAUNCH
989.68,2,"C41, C42",1441.6,35.20%,2654.4,LAUNCH
991.10,3,"C41, C42, C43",2739.1,66.87%,1356.9,LAUNCH
994.85,2,"C42, C43",2162.4,52.79%,1933.6,LAUNCH
1049.81,1,C43,1297.5,31.68%,2798.5,LAUNCH
1049.81,2,"C43, C44",3243.7,79.19%,852.3,LAUNCH
1054.77,1,C44,1946.2,47.51%,2149.8,LAUNCH
1113.55,1,C45,2919.3,71.27%,1176.7,LAUNCH
1116.28,2,"C45, C46",2929.3,71.52%,1166.7,LAUNCH
1121.28,3,"C45, C46, C47",2944.3,71.88%,1151.7,LAUNCH
1177.38,2,"C46, C47",25.0,0.61%,4071.0,LAUNCH
1179.99,1,C47,15.0,0.37%,4081.0,LAUNCH
1181.36,2,"C47, C48",37.5,0.92%,4058.5,LAUNCH
1184.94,1,C48,22.5,0.55%,4073.5,LAUNCH
1186.36,2,"C48, C49",56.2,1.37%,4039.8,LAUNCH
1191.36,3,"C48, C49, C50",106.9,2.61%,3989.1,LAUNCH
1245.00,2,"C49, C50",84.4,2.06%,4011.6,LAUNCH
1246.45,3,"C49, C50, C51",160.3,3.91%,3935.7,LAUNCH
1250.11,2,"C50, C51",126.6,3.09%,3969.4,LAUNCH
1251.45,3,"C50, C51, C52",240.5,5.87%,3855.5,LAUNCH
1254.95,2,"C51, C52",189.8,4.63%,3906.2,LAUNCH
1256.45,3,"C51, C52, C53",360.7,8.81%,3735.3,LAUNCH
1310.17,2,"C52, C53",284.8,6.95%,3811.2,LAUNCH
1311.54,3,"C52, C53, C54",541.1,13.21%,3554.9,LAUNCH
1315.10,2,"C53, C54",427.1,10.43%,3668.9,LAUNCH
1316.54,3,"C53, C54, C55",811.6,19.81%,3284.4,LAUNCH
1320.15,2,"C54, C55",640.7,15.64%,3455.3,LAUNCH
1321.55,3,"C54, C55, C56",1217.4,29.72%,2878.6,LAUNCH
1375.23,2,"C55, C56",961.1,23.46%,3134.9,LAUNCH
1376.63,3,"C55, C56, C57",1826.1,44.58%,2269.9,LAUNCH
1380.23,2,"C56, C57",1441.6,35.20%,2654.4,LAUNCH
1381.64,3,"C56, C57, C58",2739.1,66.87%,1356.9,LAUNCH
1385.35,2,"C57, C58",2162.4,52.79%,1933.6,LAUNCH
1440.41,1,C58,1297.5,31.68%,2798.5,LAUNCH
1440.41,2,"C58, C59",3243.7,79.19%,852.3,LAUNCH
1445.35,1,C59,1946.2,47.51%,2149.8,LAUNCH
1504.07,1,C60,2919.3,71.27%,1176.7,LAUNCH
1506.81,2,"C60, C61",2929.3,71.52%,1166.7,LAUNCH
1511.81,3,"C60, C61, C62",2944.3,71.88%,1151.7,LAUNCH
1567.81,2,"C61, C62",25.0,0.61%,4071.0,LAUNCH
1570.55,1,C62,15.0,0.37%,4081.0,LAUNCH
1571.90,2,"C62, C63",37.5,0.92%,4058.5,LAUNCH
1575.53,1,C63,22.5,0.55%,4073.5,LAUNCH
1576.91,2,"C63, C64",56.2,1.37%,4039.8,LAUNCH
1581.91,3,"C63, C64, C65",106.9,2.61%,3989.1,LAUNCH
1635.51,2,"C64, C65",84.4,2.06%,4011.6,LAUNCH
1636.98,3,"C64, C65, C66",160.3,3.91%,3935.7,LAUNCH
1640.50,2,"C65, C66",126.6,3.09%,3969.4,LAUNCH
1641.99,3,"C65, C66, C67",240.5,5.87%,3855.5,LAUNCH
1645.67,2,"C66, C67",189.8,4.63%,3906.2,LAUNCH
1646.99,3,"C66, C67, C68",360.7,8.81%,3735.3,LAUNCH
1700.59,2,"C67, C68",284.8,6.95%,3811.2,LAUNCH
1702.06,3,"C67, C68, C69",541.1,13.21%,3554.9,LAUNCH
1705.67,2,"C68, C69",427.1,10.43%,3668.9,LAUNCH
1707.06,3,"C68, C69, C70",811.6,19.81%,3284.4,LAUNCH
1710.63,2,"C69, C70",640.7,15.64%,3455.3,LAUNCH
1712.06,3,"C69, C70, C71",1217.4,29.72%,2878.6,LAUNCH
1765.76,2,"C70, C71",961.1,23.46%,3134.9,LAUNCH
1767.12,3,"C70, C71, C72",1826.1,44.58%,2269.9,LAUNCH
1770.71,2,"C71, C72",1441.6,35.20%,2654.4,LAUNCH
1772.13,3,"C71, C72, C73",2739.1,66.87%,1356.9,LAUNCH
1775.75,2,"C72, C73",2162.4,52.79%,1933.6,LAUNCH
1830.91,1,C73,1297.5,31.68%,2798.5,LAUNCH
1830.91,2,"C73, C74",3243.7,79.19%,852.3,LAUNCH
1835.90,1,C74,1946.2,47.51%,2149.8,LAUNCH
1894.67,1,C75,2919.3,71.27%,1176.7,LAUNCH
1897.29,2,"C75, C76",2929.3,71.52%,1166.7,LAUNCH
1902.30,3,"C75, C76, C77",2944.3,71.88%,1151.7,LAUNCH
1958.41,2,"C76, C77",25.0,0.61%,4071.0,LAUNCH
1960.96,1,C77,15.0,0.37%,4081.0,LAUNCH
1962.33,2,"C77, C78",37.5,0.92%,4058.5,LAUNCH
1965.97,1,C78,22.5,0.55%,4073.5,LAUNCH
1967.33,2,"C78, C79",56.2,1.37%,4039.8,LAUNCH
1972.34,3,"C78, C79, C80",106.9,2.61%,3989.1,LAUNCH
2026.08,2,"C79, C80",84.4,2.06%,4011.6,LAUNCH
2027.37,3,"C79, C80, C81",160.3,3.91%,3935.7,LAUNCH
2030.90,2,"C80, C81",126.6,3.09%,3969.4,LAUNCH
2032.38,3,"C80, C81, C82",240.5,5.87%,3855.5,LAUNCH
2035.98,2,"C81, C82",189.8,4.63%,3906.2,LAUNCH
2037.38,3,"C81, C82, C83",360.7,8.81%,3735.3,LAUNCH
2091.01,2,"C82, C83",284.8,6.95%,3811.2,LAUNCH
2092.43,3,"C82, C83, C84",541.1,13.21%,3554.9,LAUNCH
2095.99,2,"C83, C84",427.1,10.43%,3668.9,LAUNCH
2097.44,3,"C83, C84, C85",811.6,19.81%,3284.4,LAUNCH
2101.12,2,"C84, C85",640.7,15.64%,3455.3,LAUNCH
2102.44,3,"C84, C85, C86",1217.4,29.72%,2878.6,LAUNCH
2156.11,2,"C85, C86",961.1,23.46%,3134.9,LAUNCH
2157.48,3,"C85, C86, C87",1826.1,44.58%,2269.9,LAUNCH
2161.12,2,"C86, C87",1441.6,35.20%,2654.4,LAUNCH
2162.48,3,"C86, C87, C88",2739.1,66.87%,1356.9,LAUNCH
2166.14,2,"C87, C88",2162.4,52.79%,1933.6,LAUNCH
2221.30,1,C88,1297.5,31.68%,2798.5,LAUNCH
2221.30,2,"C88, C89",3243.7,79.19%,852.3,LAUNCH
2226.22,1,C89,1946.2,47.51%,2149.8,LAUNCH
2285.11,1,C90,2919.3,71.27%,1176.7,LAUNCH
2287.60,2,"C90, C91",2929.3,71.52%,1166.7,LAUNCH
2292.60,3,"C90, C91, C92",2944.3,71.88%,1151.7,LAUNCH
2348.85,2,"C91, C92",25.0,0.61%,4071.0,LAUNCH
2351.24,1,C92,15.0,0.37%,4081.0,LAUNCH
2352.63,2,"C92, C93",37.5,0.92%,4058.5,LAUNCH
2356.53,1,C93,22.5,0.55%,4073.5,LAUNCH
2357.64,2,"C93, C94",56.2,1.37%,4039.8,LAUNCH
2362.65,3,"C93, C94, C95",106.9,2.61%,3989.1,LAUNCH
2416.42,2,"C94, C95",84.4,2.06%,4011.6,LAUNCH
2417.67,3,"C94, C95, C96",160.3,3.91%,3935.7,LAUNCH
