MEMORY USAGE TIMELINE
Generated from container execution schedule with dynamic memory model (cycle=3)
Configuration:
  Total GPU Memory: 4096.0 MB
  Base Memory: 10.0 MB
  Memory Multiplier: 1.5
  Container Duration: 60 seconds
  Reset Interval: 3 containers (dynamic)

Timestamp (s),Active Containers (count),Container IDs,Total Memory Used (MB),Used %,Remaining Capacity (MB),Available %,Memory Pressure,Can Launch?
0,1,C1,10.0,0.2%,4086.0,99.8%,LOW,YES
5,2,"C1, C2",25.0,0.6%,4071.0,99.4%,LOW,YES
10,3,"C1, C2, C3",47.5,1.2%,4048.5,98.8%,LOW,YES
15,4,"C1, C2, C3, C4",57.5,1.4%,4038.5,98.6%,LOW,YES
20,5,"C1, C2, C3, C4, C5",72.5,1.8%,4023.5,98.2%,LOW,YES
25,6,"C1, C2, C3, C4, C5, C6",95.0,2.3%,4001.0,97.7%,LOW,YES
30,7,"C1, C2, C3, C4, C5, C6, C7",105.0,2.6%,3991.0,97.4%,LOW,YES
35,8,"C1, C2, C3, C4, C5, C6, C7, C8",120.0,2.9%,3976.0,97.1%,LOW,YES
40,9,"C1, C2, C3, C4, C5, C6, C7, C8, C9",142.5,3.5%,3953.5,96.5%,LOW,YES
45,10,"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10",152.5,3.7%,3943.5,96.3%,LOW,YES
50,11,"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11",167.5,4.1%,3928.5,95.9%,LOW,YES
55,12,"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12",190.0,4.6%,3906.0,95.4%,LOW,YES
60,12,"C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13",190.0,4.6%,3906.0,95.4%,LOW,YES
65,12,"C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14",190.0,4.6%,3906.0,95.4%,LOW,YES
70,12,"C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15",190.0,4.6%,3906.0,95.4%,LOW,YES
75,12,"C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16",190.0,4.6%,3906.0,95.4%,LOW,YES
80,12,"C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17",190.0,4.6%,3906.0,95.4%,LOW,YES
85,12,"C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18",190.0,4.6%,3906.0,95.4%,LOW,YES
90,12,"C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19",190.0,4.6%,3906.0,95.4%,LOW,YES
95,12,"C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20",190.0,4.6%,3906.0,95.4%,LOW,YES
100,12,"C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21",190.0,4.6%,3906.0,95.4%,LOW,YES
105,12,"C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22",190.0,4.6%,3906.0,95.4%,LOW,YES
110,12,"C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23",190.0,4.6%,3906.0,95.4%,LOW,YES
115,12,"C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24",190.0,4.6%,3906.0,95.4%,LOW,YES
120,12,"C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25",190.0,4.6%,3906.0,95.4%,LOW,YES
125,12,"C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26",190.0,4.6%,3906.0,95.4%,LOW,YES
130,12,"C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27",190.0,4.6%,3906.0,95.4%,LOW,YES
135,12,"C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28",190.0,4.6%,3906.0,95.4%,LOW,YES
140,12,"C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29",190.0,4.6%,3906.0,95.4%,LOW,YES
145,12,"C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30",190.0,4.6%,3906.0,95.4%,LOW,YES
150,12,"C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31",190.0,4.6%,3906.0,95.4%,LOW,YES
155,12,"C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32",190.0,4.6%,3906.0,95.4%,LOW,YES
160,12,"C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33",190.0,4.6%,3906.0,95.4%,LOW,YES
165,12,"C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34",190.0,4.6%,3906.0,95.4%,LOW,YES
