CHRONOLOGICAL EVENT TIMELINE
Complete scheduling events with container state transitions and memory status
Generated:,2026-03-30 17:24:28

CONFIGURATION
Base Memory:,10.0 MB
Memory Multiplier:,1.5x
Total GPU Memory:,4096.0 MB
Container Duration:,60s
Max Concurrent:,3
Reset Interval (cycle):,3

Time (s),Event,Container,Action,Active Containers,Memory Used (MB),Memory %,Free Memory (MB),Notes
3068.1,LAUNCH,C121,"Launch C121 (type 1/3, 10 MB)","C120, C121",2929.3,71.52%,1166.7,"C121 starts, 2 now active"
3073.1,LAUNCH,C122,"Launch C122 (type 2/3, 15 MB)","C120, C121, C122",2944.3,71.88%,1151.7,"C122 starts, 3 now active"
3129.1,COMPLETION,C120,C120 completes (free 2919 MB),"C121, C122",25.0,0.61%,4071.0,"Free C120, was queued for 1 event(s), 2 still active"
3131.7,COMPLETION,C121,C121 completes (free 10 MB),C122,15.0,0.37%,4081.0,"Free C121, 1 still active"
3133.1,LAUNCH,C123,"Launch C123 (type 3/3, 22 MB)","C122, C123",37.5,0.92%,4058.5,"C123 starts, 2 now active"
3137.0,COMPLETION,C122,C122 completes (free 15 MB),C123,22.5,0.55%,4073.5,"Free C122, 1 still active"
3138.1,LAUNCH,C124,"Launch C124 (type 1/3, 34 MB)","C123, C124",56.2,1.37%,4039.8,"C124 starts, 2 now active"
3143.1,LAUNCH,C125,"Launch C125 (type 2/3, 51 MB)","C123, C124, C125",106.9,2.61%,3989.1,"C125 starts, 3 now active"
3196.9,COMPLETION,C123,C123 completes (free 22 MB),"C124, C125",84.4,2.06%,4011.6,"Free C123, 2 still active"
3198.2,LAUNCH,C126,"Launch C126 (type 3/3, 76 MB)","C124, C125, C126",160.3,3.91%,3935.7,"C126 starts, 3 now active"
3201.8,COMPLETION,C124,C124 completes (free 34 MB),"C125, C126",126.6,3.09%,3969.4,"Free C124, 2 still active"
3203.2,LAUNCH,C127,"Launch C127 (type 1/3, 114 MB)","C125, C126, C127",240.5,5.87%,3855.5,"C127 starts, 3 now active"
3207.0,COMPLETION,C125,C125 completes (free 51 MB),"C126, C127",189.8,4.63%,3906.2,"Free C125, 2 still active"
3208.2,LAUNCH,C128,"Launch C128 (type 2/3, 171 MB)","C126, C127, C128",360.7,8.81%,3735.3,"C128 starts, 3 now active"
3261.8,COMPLETION,C126,C126 completes (free 76 MB),"C127, C128",284.8,6.95%,3811.2,"Free C126, 2 still active"
3263.2,LAUNCH,C129,"Launch C129 (type 3/3, 256 MB)","C127, C128, C129",541.1,13.21%,3554.9,"C129 starts, 3 now active"
3266.9,COMPLETION,C127,C127 completes (free 114 MB),"C128, C129",427.1,10.43%,3668.9,"Free C127, 2 still active"
3268.2,LAUNCH,C130,"Launch C130 (type 1/3, 384 MB)","C128, C129, C130",811.6,19.81%,3284.4,"C130 starts, 3 now active"
3271.9,COMPLETION,C128,C128 completes (free 171 MB),"C129, C130",640.7,15.64%,3455.3,"Free C128, 2 still active"
3273.3,LAUNCH,C131,"Launch C131 (type 2/3, 577 MB)","C129, C130, C131",1217.4,29.72%,2878.6,"C131 starts, 3 now active"
3326.9,COMPLETION,C129,C129 completes (free 256 MB),"C130, C131",961.1,23.46%,3134.9,"Free C129, 2 still active"
3328.3,LAUNCH,C132,"Launch C132 (type 3/3, 865 MB)","C130, C131, C132",1826.1,44.58%,2269.9,"C132 starts, 3 now active"
3332.0,COMPLETION,C130,C130 completes (free 384 MB),"C131, C132",1441.6,35.20%,2654.4,"Free C130, 2 still active"
3333.3,LAUNCH,C133,"Launch C133 (type 1/3, 1297 MB)","C131, C132, C133",2739.1,66.87%,1356.9,"C133 starts, 3 now active"
3336.9,COMPLETION,C131,C131 completes (free 577 MB),"C132, C133",2162.4,52.79%,1933.6,"Free C131, 2 still active"
3338.3,QUEUED,C134,"C134 queued (WAITING_MEMORY, needs 1946 MB)","C132, C133",2162.4,52.79%,1933.6,C134 blocked - WAITING_MEMORY (free 1934 < needed 1946)
3392.1,COMPLETION,C132,C132 completes (free 865 MB),C133,1297.5,31.68%,2798.5,"Free C132, 1 still active"
3392.1,LAUNCH,C134,"Launch C134 (type 2/3, 1946 MB)","C133, C134",3243.7,79.19%,852.3,"C134 starts, 2 now active"
3393.4,QUEUED,C135,"C135 queued (WAITING_MEMORY, needs 2919 MB)","C133, C134",3243.7,79.19%,852.3,C135 blocked - WAITING_MEMORY (free 852 < needed 2919)
3397.0,COMPLETION,C133,C133 completes (free 1297 MB),C134,1946.2,47.51%,2149.8,"Free C133, 1 still active"
3455.9,COMPLETION,C134,C134 completes (free 1946 MB),(empty),0.0,0.00%,4096.0,"Free C134, was queued for 1 event(s)"
3455.9,LAUNCH,C135,"Launch C135 (type 3/3, 2919 MB)",C135,2919.3,71.27%,1176.7,C135 starts
3458.4,LAUNCH,C136,"Launch C136 (type 1/3, 10 MB)","C135, C136",2929.3,71.52%,1166.7,"C136 starts, 2 now active"
3463.4,LAUNCH,C137,"Launch C137 (type 2/3, 15 MB)","C135, C136, C137",2944.3,71.88%,1151.7,"C137 starts, 3 now active"
3519.7,COMPLETION,C135,C135 completes (free 2919 MB),"C136, C137",25.0,0.61%,4071.0,"Free C135, was queued for 1 event(s), 2 still active"
3522.1,COMPLETION,C136,C136 completes (free 10 MB),C137,15.0,0.37%,4081.0,"Free C136, 1 still active"
3523.5,LAUNCH,C138,"Launch C138 (type 3/3, 22 MB)","C137, C138",37.5,0.92%,4058.5,"C138 starts, 2 now active"
3527.0,COMPLETION,C137,C137 completes (free 15 MB),C138,22.5,0.55%,4073.5,"Free C137, 1 still active"
3528.5,LAUNCH,C139,"Launch C139 (type 1/3, 34 MB)","C138, C139",56.2,1.37%,4039.8,"C139 starts, 2 now active"
3533.5,LAUNCH,C140,"Launch C140 (type 2/3, 51 MB)","C138, C139, C140",106.9,2.61%,3989.1,"C140 starts, 3 now active"
3587.1,COMPLETION,C138,C138 completes (free 22 MB),"C139, C140",84.4,2.06%,4011.6,"Free C138, 2 still active"
3588.5,LAUNCH,C141,"Launch C141 (type 3/3, 76 MB)","C139, C140, C141",160.3,3.91%,3935.7,"C141 starts, 3 now active"
3592.1,COMPLETION,C139,C139 completes (free 34 MB),"C140, C141",126.6,3.09%,3969.4,"Free C139, 2 still active"
3593.5,LAUNCH,C142,"Launch C142 (type 1/3, 114 MB)","C140, C141, C142",240.5,5.87%,3855.5,"C142 starts, 3 now active"
3597.2,COMPLETION,C140,C140 completes (free 51 MB),"C141, C142",189.8,4.63%,3906.2,"Free C140, 2 still active"
3598.5,LAUNCH,C143,"Launch C143 (type 2/3, 171 MB)","C141, C142, C143",360.7,8.81%,3735.3,"C143 starts, 3 now active"

TIMELINE SUMMARY
Metric,Value,Unit
Total Events,301,count
Container Launches,143,count
Container Completions,140,count
Queue Events,18,count
Timeline Start,1774887863.4,seconds
Timeline End,1774891462.0,seconds
Total Duration,3598.5,seconds
Average Event Interval,11.96,seconds

QUEUE ANALYSIS (from timeline)
WAITING_MEMORY Events,18,count
WAITING_SLOT Events,0,count
