CONTAINER EXECUTION DATA
Configuration:
  Total GPU Memory: 4096.0 MB
  Base Memory: 10.0 MB
  Memory Multiplier: 1.5

Container ID,Memory Allocated (MB),Expected Duration (s),Launch Time (s),Completion Time (s),Actual Duration (s),Duration Accuracy,Success,Execution Status,Memory Efficiency %
100,384.4,60,1774890351.15,1774890415.00,63.85,93.6%,Yes,✓ Completed,9.4%
101,576.7,60,1774890356.15,1774890419.78,63.63,94.0%,Yes,✓ Completed,14.1%
102,865.0,60,1774890411.18,1774890475.04,63.86,93.6%,Yes,✓ Completed,21.1%
103,1297.5,60,1774890416.19,1774890480.01,63.81,93.6%,Yes,✓ Completed,31.7%
104,1946.2,60,1774890475.04,1774890538.79,63.75,93.8%,Yes,✓ Completed,47.5%
105,2919.3,60,1774890538.79,1774890602.59,63.79,93.7%,Yes,✓ Completed,71.3%
106,10.0,60,1774890541.26,1774890604.98,63.72,93.8%,Yes,✓ Completed,0.2%
107,15.0,60,1774890546.26,1774890610.05,63.79,93.7%,Yes,✓ Completed,0.4%
108,22.5,60,1774890606.29,1774890670.15,63.86,93.6%,Yes,✓ Completed,0.5%
109,33.8,60,1774890611.30,1774890675.03,63.73,93.8%,Yes,✓ Completed,0.8%
110,50.6,60,1774890616.31,1774890680.12,63.81,93.6%,Yes,✓ Completed,1.2%
111,75.9,60,1774890671.35,1774890735.09,63.74,93.8%,Yes,✓ Completed,1.9%
112,113.9,60,1774890676.35,1774890739.93,63.58,94.0%,Yes,✓ Completed,2.8%
113,170.9,60,1774890681.36,1774890745.05,63.69,93.8%,Yes,✓ Completed,4.2%
114,256.3,60,1774890736.39,1774890800.06,63.67,93.9%,Yes,✓ Completed,6.3%
115,384.4,60,1774890741.40,1774890805.26,63.86,93.6%,Yes,✓ Completed,9.4%
116,576.7,60,1774890746.40,1774890810.13,63.73,93.8%,Yes,✓ Completed,14.1%
117,865.0,60,1774890801.44,1774890865.12,63.68,93.9%,Yes,✓ Completed,21.1%
118,1297.5,60,1774890806.44,1774890870.23,63.79,93.7%,Yes,✓ Completed,31.7%
119,1946.2,60,1774890865.12,1774890928.79,63.67,93.9%,Yes,✓ Completed,47.5%
120,2919.3,60,1774890928.79,1774890992.58,63.79,93.7%,Yes,✓ Completed,71.3%
121,10.0,60,1774890931.52,1774890995.18,63.66,93.9%,Yes,✓ Completed,0.2%
122,15.0,60,1774890936.53,1774891000.40,63.88,93.5%,Yes,✓ Completed,0.4%
123,22.5,60,1774890996.58,1774891060.31,63.73,93.8%,Yes,✓ Completed,0.5%
124,33.8,60,1774891001.58,1774891065.23,63.64,93.9%,Yes,✓ Completed,0.8%
125,50.6,60,1774891006.59,1774891070.48,63.89,93.5%,Yes,✓ Completed,1.2%
126,75.9,60,1774891061.63,1774891125.23,63.60,94.0%,Yes,✓ Completed,1.9%
127,113.9,60,1774891066.63,1774891130.35,63.72,93.8%,Yes,✓ Completed,2.8%
128,170.9,60,1774891071.64,1774891135.36,63.72,93.8%,Yes,✓ Completed,4.2%
129,256.3,60,1774891126.69,1774891190.39,63.70,93.8%,Yes,✓ Completed,6.3%
130,384.4,60,1774891131.69,1774891195.39,63.70,93.8%,Yes,✓ Completed,9.4%
131,576.7,60,1774891136.70,1774891200.36,63.66,93.9%,Yes,✓ Completed,14.1%
132,865.0,60,1774891191.75,1774891255.54,63.79,93.7%,Yes,✓ Completed,21.1%
133,1297.5,60,1774891196.75,1774891260.46,63.72,93.8%,Yes,✓ Completed,31.7%
134,1946.2,60,1774891255.54,1774891319.32,63.78,93.7%,Yes,✓ Completed,47.5%
135,2919.3,60,1774891319.32,1774891383.12,63.80,93.7%,Yes,✓ Completed,71.3%
136,10.0,60,1774891321.86,1774891385.55,63.69,93.8%,Yes,✓ Completed,0.2%
137,15.0,60,1774891326.86,1774891390.47,63.61,94.0%,Yes,✓ Completed,0.4%
138,22.5,60,1774891386.93,1774891450.58,63.66,93.9%,Yes,✓ Completed,0.5%
139,33.8,60,1774891391.93,1774891455.53,63.60,94.0%,Yes,✓ Completed,0.8%
140,50.6,60,1774891396.93,1774891460.67,63.74,93.8%,Yes,✓ Completed,1.2%
141,75.9,60,1774891451.98,N/A,0.00,N/A,No,✗ Failed,1.9%
142,113.9,60,1774891456.98,N/A,0.00,N/A,No,✗ Failed,2.8%
143,170.9,60,1774891461.99,N/A,0.00,N/A,No,✗ Failed,4.2%

SUMMARY STATISTICS
Metric,Value,Unit
Total Containers Executed,143,count
Successful Containers,140,count
Failed Containers,3,count
Success Rate,97.9,%

"MEMORY UTILIZATION (DYNAMIC RESET, cycle=3)"
Peak Cycle Utilization,1.16%,Cycle = 47.5 / 4096.0 MB
Cycle Position 1,10.0,MB
Cycle Position 2,15.0,MB
Cycle Position 3,22.5,MB
Cycle Total,47.5,MB
