CONTAINER EXECUTION DATA
Configuration:
  Total GPU Memory: 4096.0 MB
  Base Memory: 10.0 MB
  Memory Multiplier: 1.5

Container ID,Memory Allocated (MB),Expected Duration (s),Launch Time (s),Completion Time (s),Actual Duration (s),Duration Accuracy,Success,Execution Status,Memory Efficiency %
1,10.0,60,1774887863.44,1774887927.33,63.89,93.5%,Yes,✓ Completed,0.2%
2,15.0,60,1774887868.45,1774887932.06,63.61,94.0%,Yes,✓ Completed,0.4%
3,22.5,60,1774887873.46,1774887937.24,63.78,93.7%,Yes,✓ Completed,0.5%
4,33.8,60,1774887928.51,1774887992.34,63.83,93.6%,Yes,✓ Completed,0.8%
5,50.6,60,1774887933.51,1774887997.14,63.63,94.0%,Yes,✓ Completed,1.2%
6,75.9,60,1774887938.52,1774888002.40,63.88,93.5%,Yes,✓ Completed,1.9%
7,113.9,60,1774887993.56,1774888057.15,63.59,94.0%,Yes,✓ Completed,2.8%
8,170.9,60,1774887998.57,1774888062.27,63.70,93.8%,Yes,✓ Completed,4.2%
9,256.3,60,1774888003.58,1774888067.33,63.75,93.8%,Yes,✓ Completed,6.3%
10,384.4,60,1774888058.63,1774888122.31,63.68,93.9%,Yes,✓ Completed,9.4%
11,576.7,60,1774888063.64,1774888127.46,63.82,93.6%,Yes,✓ Completed,14.1%
12,865.0,60,1774888068.65,1774888132.29,63.64,93.9%,Yes,✓ Completed,21.1%
13,1297.5,60,1774888123.71,1774888187.33,63.62,94.0%,Yes,✓ Completed,31.7%
14,1946.2,60,1774888132.29,1774888195.98,63.69,93.8%,Yes,✓ Completed,47.5%
15,2919.3,60,1774888195.98,1774888259.74,63.76,93.7%,Yes,✓ Completed,71.3%
16,10.0,60,1774888198.78,1774888262.57,63.80,93.7%,Yes,✓ Completed,0.2%
17,15.0,60,1774888203.79,1774888267.47,63.69,93.9%,Yes,✓ Completed,0.4%
18,22.5,60,1774888263.85,1774888327.50,63.64,93.9%,Yes,✓ Completed,0.5%
19,33.8,60,1774888268.86,1774888332.59,63.72,93.8%,Yes,✓ Completed,0.8%
20,50.6,60,1774888273.86,1774888337.53,63.67,93.9%,Yes,✓ Completed,1.2%
21,75.9,60,1774888328.92,1774888392.60,63.68,93.9%,Yes,✓ Completed,1.9%
22,113.9,60,1774888333.92,1774888397.73,63.81,93.7%,Yes,✓ Completed,2.8%
23,170.9,60,1774888338.93,1774888402.54,63.61,94.0%,Yes,✓ Completed,4.2%
24,256.3,60,1774888394.00,1774888457.73,63.73,93.8%,Yes,✓ Completed,6.3%
25,384.4,60,1774888399.01,1774888462.74,63.74,93.8%,Yes,✓ Completed,9.4%
26,576.7,60,1774888404.01,1774888467.77,63.75,93.7%,Yes,✓ Completed,14.1%
27,865.0,60,1774888459.08,1774888522.79,63.70,93.8%,Yes,✓ Completed,21.1%
28,1297.5,60,1774888464.09,1774888527.97,63.88,93.5%,Yes,✓ Completed,31.7%
29,1946.2,60,1774888522.79,1774888586.50,63.72,93.8%,Yes,✓ Completed,47.5%
30,2919.3,60,1774888586.50,1774888650.28,63.78,93.7%,Yes,✓ Completed,71.3%
31,10.0,60,1774888589.23,1774888652.98,63.75,93.7%,Yes,✓ Completed,0.2%
32,15.0,60,1774888594.23,1774888658.14,63.92,93.5%,Yes,✓ Completed,0.4%
33,22.5,60,1774888654.30,1774888718.12,63.82,93.6%,Yes,✓ Completed,0.5%
34,33.8,60,1774888659.31,1774888722.93,63.62,94.0%,Yes,✓ Completed,0.8%
35,50.6,60,1774888664.32,1774888728.05,63.73,93.8%,Yes,✓ Completed,1.2%
36,75.9,60,1774888719.39,1774888783.10,63.72,93.8%,Yes,✓ Completed,1.9%
37,113.9,60,1774888724.40,1774888788.03,63.63,93.9%,Yes,✓ Completed,2.8%
38,170.9,60,1774888729.40,1774888793.14,63.75,93.8%,Yes,✓ Completed,4.2%
39,256.3,60,1774888784.47,1774888848.17,63.70,93.8%,Yes,✓ Completed,6.3%
40,384.4,60,1774888789.47,1774888853.13,63.66,93.9%,Yes,✓ Completed,9.4%
41,576.7,60,1774888794.47,1774888858.30,63.82,93.6%,Yes,✓ Completed,14.1%
42,865.0,60,1774888849.55,1774888913.25,63.71,93.8%,Yes,✓ Completed,21.1%
43,1297.5,60,1774888854.55,1774888918.21,63.66,93.9%,Yes,✓ Completed,31.7%
44,1946.2,60,1774888913.25,1774888977.00,63.74,93.8%,Yes,✓ Completed,47.5%
45,2919.3,60,1774888977.00,1774889040.82,63.83,93.6%,Yes,✓ Completed,71.3%
46,10.0,60,1774888979.72,1774889043.43,63.71,93.8%,Yes,✓ Completed,0.2%
47,15.0,60,1774888984.73,1774889048.39,63.66,93.9%,Yes,✓ Completed,0.4%
48,22.5,60,1774889044.80,1774889108.44,63.64,93.9%,Yes,✓ Completed,0.5%
49,33.8,60,1774889049.80,1774889113.55,63.75,93.8%,Yes,✓ Completed,0.8%
50,50.6,60,1774889054.81,1774889118.40,63.59,94.0%,Yes,✓ Completed,1.2%
51,75.9,60,1774889109.89,1774889173.61,63.72,93.8%,Yes,✓ Completed,1.9%
52,113.9,60,1774889114.89,1774889178.54,63.65,93.9%,Yes,✓ Completed,2.8%
53,170.9,60,1774889119.90,1774889183.59,63.70,93.8%,Yes,✓ Completed,4.2%
54,256.3,60,1774889174.98,1774889238.67,63.69,93.8%,Yes,✓ Completed,6.3%
55,384.4,60,1774889179.98,1774889243.67,63.69,93.9%,Yes,✓ Completed,9.4%
56,576.7,60,1774889184.99,1774889248.80,63.81,93.7%,Yes,✓ Completed,14.1%
57,865.0,60,1774889240.08,1774889303.85,63.77,93.7%,Yes,✓ Completed,21.1%
58,1297.5,60,1774889245.08,1774889308.80,63.71,93.8%,Yes,✓ Completed,31.7%
59,1946.2,60,1774889303.85,1774889367.51,63.66,93.9%,Yes,✓ Completed,47.5%
60,2919.3,60,1774889367.51,1774889431.25,63.74,93.8%,Yes,✓ Completed,71.3%
61,10.0,60,1774889370.25,1774889433.99,63.74,93.8%,Yes,✓ Completed,0.2%
62,15.0,60,1774889375.25,1774889438.97,63.72,93.8%,Yes,✓ Completed,0.4%
63,22.5,60,1774889435.34,1774889498.95,63.61,94.0%,Yes,✓ Completed,0.5%
64,33.8,60,1774889440.35,1774889503.94,63.59,94.0%,Yes,✓ Completed,0.8%
65,50.6,60,1774889445.35,1774889509.11,63.76,93.7%,Yes,✓ Completed,1.2%
66,75.9,60,1774889500.43,1774889564.03,63.60,94.0%,Yes,✓ Completed,1.9%
67,113.9,60,1774889505.43,1774889569.12,63.69,93.9%,Yes,✓ Completed,2.8%
68,170.9,60,1774889510.44,1774889574.08,63.64,93.9%,Yes,✓ Completed,4.2%
69,256.3,60,1774889565.50,1774889629.20,63.70,93.8%,Yes,✓ Completed,6.3%
70,384.4,60,1774889570.50,1774889634.15,63.65,93.9%,Yes,✓ Completed,9.4%
71,576.7,60,1774889575.51,1774889639.20,63.69,93.8%,Yes,✓ Completed,14.1%
72,865.0,60,1774889630.57,1774889694.36,63.79,93.7%,Yes,✓ Completed,21.1%
73,1297.5,60,1774889635.57,1774889699.34,63.77,93.7%,Yes,✓ Completed,31.7%
74,1946.2,60,1774889694.36,1774889758.11,63.75,93.7%,Yes,✓ Completed,47.5%
75,2919.3,60,1774889758.11,1774889821.85,63.74,93.8%,Yes,✓ Completed,71.3%
76,10.0,60,1774889760.74,1774889824.41,63.67,93.9%,Yes,✓ Completed,0.2%
77,15.0,60,1774889765.75,1774889829.42,63.67,93.9%,Yes,✓ Completed,0.4%
78,22.5,60,1774889825.77,1774889889.53,63.75,93.7%,Yes,✓ Completed,0.5%
79,33.8,60,1774889830.78,1774889894.35,63.57,94.1%,Yes,✓ Completed,0.8%
80,50.6,60,1774889835.78,1774889899.43,63.65,93.9%,Yes,✓ Completed,1.2%
81,75.9,60,1774889890.82,1774889954.46,63.64,93.9%,Yes,✓ Completed,1.9%
82,113.9,60,1774889895.82,1774889959.43,63.61,94.0%,Yes,✓ Completed,2.8%
83,170.9,60,1774889900.83,1774889964.56,63.73,93.8%,Yes,✓ Completed,4.2%
84,256.3,60,1774889955.87,1774890019.55,63.68,93.9%,Yes,✓ Completed,6.3%
85,384.4,60,1774889960.88,1774890024.56,63.68,93.9%,Yes,✓ Completed,9.4%
86,576.7,60,1774889965.89,1774890029.59,63.70,93.8%,Yes,✓ Completed,14.1%
87,865.0,60,1774890020.93,1774890084.75,63.82,93.6%,Yes,✓ Completed,21.1%
88,1297.5,60,1774890025.93,1774890089.66,63.73,93.8%,Yes,✓ Completed,31.7%
89,1946.2,60,1774890084.75,1774890148.55,63.81,93.7%,Yes,✓ Completed,47.5%
90,2919.3,60,1774890148.55,1774890212.30,63.74,93.8%,Yes,✓ Completed,71.3%
91,10.0,60,1774890151.04,1774890214.69,63.65,93.9%,Yes,✓ Completed,0.2%
92,15.0,60,1774890156.05,1774890219.97,63.93,93.5%,Yes,✓ Completed,0.4%
93,22.5,60,1774890216.08,1774890279.86,63.79,93.7%,Yes,✓ Completed,0.5%
94,33.8,60,1774890221.08,1774890284.73,63.65,93.9%,Yes,✓ Completed,0.8%
95,50.6,60,1774890226.09,1774890289.96,63.87,93.5%,Yes,✓ Completed,1.2%
96,75.9,60,1774890281.11,1774890344.93,63.82,93.6%,Yes,✓ Completed,1.9%
97,113.9,60,1774890286.11,1774890349.83,63.71,93.8%,Yes,✓ Completed,2.8%
98,170.9,60,1774890291.12,1774890354.83,63.71,93.8%,Yes,✓ Completed,4.2%
99,256.3,60,1774890346.15,1774890409.82,63.68,93.9%,Yes,✓ Completed,6.3%
