CONTAINER EXECUTION DATA
Configuration:
  Total GPU Memory: 4096.0 MB
  Base Memory: 862.0 MB
  Memory Multiplier: 1.5

Container ID,Memory Allocated (MB),Expected Duration (s),Launch Time (s),Completion Time (s),Actual Duration (s),Duration Accuracy,Success,Execution Status,Memory Efficiency %
65,1293.0,60,1774278523.05,1774278586.69,63.64,93.9%,Yes,✓ Completed,31.6%
66,1939.5,60,1774278528.05,1774278591.73,63.67,93.9%,Yes,✓ Completed,47.4%
67,862.0,60,1774278583.07,1774278646.75,63.68,93.9%,Yes,✓ Completed,21.0%
68,1293.0,60,1774278588.08,1774278651.80,63.72,93.8%,Yes,✓ Completed,31.6%
69,1939.5,60,1774278593.08,1774278656.89,63.81,93.7%,Yes,✓ Completed,47.4%
70,862.0,60,1774278648.09,1774278711.83,63.74,93.8%,Yes,✓ Completed,21.0%
71,1293.0,60,1774278653.09,1774278716.84,63.75,93.8%,Yes,✓ Completed,31.6%
72,1939.5,60,1774278658.09,1774278721.80,63.71,93.8%,Yes,✓ Completed,47.4%
73,862.0,60,1774278713.10,1774278776.80,63.70,93.8%,Yes,✓ Completed,21.0%
74,1293.0,60,1774278718.10,1774278781.69,63.59,94.0%,Yes,✓ Completed,31.6%
75,1939.5,60,1774278723.10,1774278786.78,63.68,93.9%,Yes,✓ Completed,47.4%
76,862.0,60,1774278778.10,1774278841.82,63.72,93.8%,Yes,✓ Completed,21.0%
77,1293.0,60,1774278783.11,1774278846.81,63.71,93.8%,Yes,✓ Completed,31.6%
78,1939.5,60,1774278788.11,1774278851.82,63.71,93.8%,Yes,✓ Completed,47.4%
79,862.0,60,1774278843.12,1774278906.87,63.75,93.7%,Yes,✓ Completed,21.0%
80,1293.0,60,1774278848.12,1774278911.81,63.70,93.8%,Yes,✓ Completed,31.6%
81,1939.5,60,1774278853.12,1774278916.86,63.74,93.8%,Yes,✓ Completed,47.4%
82,862.0,60,1774278908.13,1774278971.90,63.77,93.7%,Yes,✓ Completed,21.0%
83,1293.0,60,1774278913.14,1774278976.99,63.85,93.6%,Yes,✓ Completed,31.6%
84,1939.5,60,1774278918.14,1774278981.85,63.71,93.8%,Yes,✓ Completed,47.4%
85,862.0,60,1774278973.15,1774279036.75,63.60,94.0%,Yes,✓ Completed,21.0%
86,1293.0,60,1774278978.15,1774279041.88,63.73,93.8%,Yes,✓ Completed,31.6%
87,1939.5,60,1774278983.16,1774279046.85,63.69,93.8%,Yes,✓ Completed,47.4%
88,862.0,60,1774279038.17,1774279101.90,63.73,93.8%,Yes,✓ Completed,21.0%
89,1293.0,60,1774279043.18,1774279106.89,63.72,93.8%,Yes,✓ Completed,31.6%
90,1939.5,60,1774279048.18,1774279111.87,63.69,93.8%,Yes,✓ Completed,47.4%
91,862.0,60,1774279103.18,1774279166.91,63.73,93.8%,Yes,✓ Completed,21.0%
92,1293.0,60,1774279108.18,1774279171.79,63.61,94.0%,Yes,✓ Completed,31.6%
93,1939.5,60,1774279113.19,1774279176.96,63.77,93.7%,Yes,✓ Completed,47.4%
94,862.0,60,1774279168.20,1774279231.89,63.70,93.8%,Yes,✓ Completed,21.0%
95,1293.0,60,1774279173.20,1774279236.92,63.72,93.8%,Yes,✓ Completed,31.6%
96,1939.5,60,1774279178.20,1774279241.89,63.69,93.9%,Yes,✓ Completed,47.4%
97,862.0,60,1774279233.20,1774279296.91,63.71,93.8%,Yes,✓ Completed,21.0%
98,1293.0,60,1774279238.21,1774279301.89,63.68,93.9%,Yes,✓ Completed,31.6%
99,1939.5,60,1774279243.21,1774279307.01,63.80,93.7%,Yes,✓ Completed,47.4%
100,862.0,60,1774279298.21,1774279362.03,63.82,93.6%,Yes,✓ Completed,21.0%
101,1293.0,60,1774279303.22,1774279366.83,63.61,94.0%,Yes,✓ Completed,31.6%
102,1939.5,60,1774279308.22,1774279372.04,63.82,93.6%,Yes,✓ Completed,47.4%
103,862.0,60,1774279363.23,1774279426.91,63.68,93.9%,Yes,✓ Completed,21.0%
104,1293.0,60,1774279368.23,1774279431.96,63.72,93.8%,Yes,✓ Completed,31.6%
105,1939.5,60,1774279373.24,1774279437.04,63.80,93.7%,Yes,✓ Completed,47.4%
106,862.0,60,1774279428.24,1774279491.86,63.62,94.0%,Yes,✓ Completed,21.0%
107,1293.0,60,1774279433.24,1774279496.96,63.72,93.8%,Yes,✓ Completed,31.6%
108,1939.5,60,1774279438.25,1774279501.89,63.64,93.9%,Yes,✓ Completed,47.4%
109,862.0,60,1774279493.25,1774279556.96,63.71,93.8%,Yes,✓ Completed,21.0%
110,1293.0,60,1774279498.25,1774279561.88,63.63,94.0%,Yes,✓ Completed,31.6%
111,1939.5,60,1774279503.26,1774279566.97,63.71,93.8%,Yes,✓ Completed,47.4%
112,862.0,60,1774279558.26,1774279621.96,63.69,93.8%,Yes,✓ Completed,21.0%
113,1293.0,60,1774279563.26,1774279627.03,63.77,93.7%,Yes,✓ Completed,31.6%
114,1939.5,60,1774279568.27,1774279631.98,63.71,93.8%,Yes,✓ Completed,47.4%
115,862.0,60,1774279623.27,1774279686.99,63.72,93.8%,Yes,✓ Completed,21.0%
116,1293.0,60,1774279628.28,1774279692.04,63.77,93.7%,Yes,✓ Completed,31.6%
117,1939.5,60,1774279633.28,1774279696.93,63.65,93.9%,Yes,✓ Completed,47.4%
118,862.0,60,1774279688.28,1774279752.03,63.75,93.7%,Yes,✓ Completed,21.0%
119,1293.0,60,1774279693.29,1774279757.01,63.73,93.8%,Yes,✓ Completed,31.6%
120,1939.5,60,1774279698.29,1774279762.07,63.78,93.7%,Yes,✓ Completed,47.4%
121,862.0,60,1774279753.30,1774279816.90,63.59,94.0%,Yes,✓ Completed,21.0%
122,1293.0,60,1774279758.31,1774279822.10,63.80,93.7%,Yes,✓ Completed,31.6%
123,1939.5,60,1774279763.31,1774279827.04,63.74,93.8%,Yes,✓ Completed,47.4%
124,862.0,60,1774279818.31,1774279881.98,63.66,93.9%,Yes,✓ Completed,21.0%
125,1293.0,60,1774279823.32,1774279886.92,63.60,94.0%,Yes,✓ Completed,31.6%
126,1939.5,60,1774279828.32,1774279892.03,63.72,93.8%,Yes,✓ Completed,47.4%
127,862.0,60,1774279883.33,1774279947.10,63.78,93.7%,Yes,✓ Completed,21.0%
128,1293.0,60,1774279888.33,1774279952.03,63.70,93.8%,Yes,✓ Completed,31.6%
129,1939.5,60,1774279893.33,1774279956.95,63.61,94.0%,Yes,✓ Completed,47.4%
130,862.0,60,1774279948.34,1774280012.08,63.74,93.8%,Yes,✓ Completed,21.0%
131,1293.0,60,1774279953.34,1774280017.08,63.74,93.8%,Yes,✓ Completed,31.6%
132,1939.5,60,1774279958.34,1774280022.01,63.67,93.9%,Yes,✓ Completed,47.4%
133,862.0,60,1774280013.35,1774280077.11,63.76,93.7%,Yes,✓ Completed,21.0%
134,1293.0,60,1774280018.35,1774280082.11,63.75,93.7%,Yes,✓ Completed,31.6%
135,1939.5,60,1774280023.36,1774280087.10,63.74,93.8%,Yes,✓ Completed,47.4%
136,862.0,60,1774280078.36,1774280142.01,63.65,93.9%,Yes,✓ Completed,21.0%
137,1293.0,60,1774280083.36,1774280147.14,63.77,93.7%,Yes,✓ Completed,31.6%
138,1939.5,60,1774280088.37,1774280151.94,63.57,94.0%,Yes,✓ Completed,47.4%
139,862.0,60,1774280143.37,1774280207.06,63.69,93.8%,Yes,✓ Completed,21.0%
140,1293.0,60,1774280148.37,1774280211.95,63.58,94.0%,Yes,✓ Completed,31.6%
141,1939.5,60,1774280153.37,1774280217.02,63.64,93.9%,Yes,✓ Completed,47.4%
142,862.0,60,1774280208.38,1774280272.12,63.73,93.8%,Yes,✓ Completed,21.0%
143,1293.0,60,1774280213.39,1774280277.11,63.72,93.8%,Yes,✓ Completed,31.6%
144,1939.5,60,1774280218.39,1774280281.96,63.57,94.0%,Yes,✓ Completed,47.4%
145,862.0,60,1774280273.40,1774280337.12,63.73,93.8%,Yes,✓ Completed,21.0%
146,1293.0,60,1774280278.40,1774280342.12,63.72,93.8%,Yes,✓ Completed,31.6%
147,1939.5,60,1774280283.40,1774280347.14,63.74,93.8%,Yes,✓ Completed,47.4%
148,862.0,60,1774280338.41,1774280402.13,63.73,93.8%,Yes,✓ Completed,21.0%
149,1293.0,60,1774280343.41,1774280407.06,63.65,93.9%,Yes,✓ Completed,31.6%
150,1939.5,60,1774280348.41,1774280412.12,63.71,93.8%,Yes,✓ Completed,47.4%
151,862.0,60,1774280403.42,1774280467.08,63.65,93.9%,Yes,✓ Completed,21.0%
152,1293.0,60,1774280408.43,1774280472.16,63.74,93.8%,Yes,✓ Completed,31.6%
153,1939.5,60,1774280413.43,1774280477.02,63.60,94.0%,Yes,✓ Completed,47.4%
154,862.0,60,1774280468.43,1774280532.05,63.61,94.0%,Yes,✓ Completed,21.0%
155,1293.0,60,1774280473.44,1774280537.22,63.78,93.7%,Yes,✓ Completed,31.6%
156,1939.5,60,1774280478.44,1774280542.17,63.73,93.8%,Yes,✓ Completed,47.4%
157,862.0,60,1774280533.45,1774280597.29,63.84,93.6%,Yes,✓ Completed,21.0%
158,1293.0,60,1774280538.45,1774280602.13,63.68,93.9%,Yes,✓ Completed,31.6%
159,1939.5,60,1774280543.45,1774280607.21,63.76,93.7%,Yes,✓ Completed,47.4%
160,862.0,60,1774280598.46,1774280662.20,63.75,93.8%,Yes,✓ Completed,21.0%
161,1293.0,60,1774280603.46,1774280667.19,63.72,93.8%,Yes,✓ Completed,31.6%
162,1939.5,60,1774280608.46,1774280672.04,63.58,94.0%,Yes,✓ Completed,47.4%
163,862.0,60,1774280663.47,1774280727.08,63.61,94.0%,Yes,✓ Completed,21.0%
164,1293.0,60,1774280668.47,1774280732.15,63.68,93.9%,Yes,✓ Completed,31.6%
