container_id,memory_mb,launch_time_s,complete_time_s,duration_s,status
C141,1939.5,27610,28210,600,COMPLETED
C142,862.0,28200,28800,600,COMPLETED
C143,1293.0,28205,28805,600,COMPLETED
C144,1939.5,28210,28810,600,COMPLETED
C145,862.0,28800,29400,600,COMPLETED
C146,1293.0,28805,29405,600,COMPLETED
C147,1939.5,28810,29410,600,COMPLETED
C148,862.0,29400,30000,600,COMPLETED
C149,1293.0,29405,30005,600,COMPLETED
C150,1939.5,29410,30010,600,COMPLETED
C151,862.0,30000,30600,600,COMPLETED
C152,1293.0,30005,30605,600,COMPLETED
C153,1939.5,30010,30610,600,COMPLETED
C154,862.0,30600,31200,600,COMPLETED
C155,1293.0,30605,31205,600,COMPLETED
C156,1939.5,30610,31210,600,COMPLETED
C157,862.0,31200,31800,600,COMPLETED
C158,1293.0,31205,31805,600,COMPLETED
C159,1939.5,31210,31810,600,COMPLETED
C160,862.0,31800,32400,600,COMPLETED
C161,1293.0,31805,32405,600,COMPLETED
C162,1939.5,31810,32410,600,COMPLETED
C163,862.0,32400,33000,600,COMPLETED
C164,1293.0,32405,33005,600,COMPLETED
C165,1939.5,32410,33010,600,COMPLETED
C166,862.0,33000,33600,600,COMPLETED
C167,1293.0,33005,33605,600,COMPLETED
C168,1939.5,33010,33610,600,COMPLETED
C169,862.0,33600,34200,600,COMPLETED
C170,1293.0,33605,34205,600,COMPLETED
C171,1939.5,33610,34210,600,COMPLETED
C172,862.0,34200,34800,600,COMPLETED
C173,1293.0,34205,34805,600,COMPLETED
C174,1939.5,34210,34810,600,COMPLETED
C175,862.0,34800,35400,600,COMPLETED
C176,1293.0,34805,35405,600,COMPLETED
C177,1939.5,34810,35410,600,COMPLETED
C178,862.0,35400,36000,600,COMPLETED
C179,1293.0,35405,36005,600,COMPLETED
C180,1939.5,35410,36010,600,COMPLETED
C181,862.0,36000,36600,600,COMPLETED
C182,1293.0,36005,36605,600,COMPLETED
C183,1939.5,36010,36610,600,COMPLETED
C184,862.0,36600,37200,600,COMPLETED
C185,1293.0,36605,37205,600,COMPLETED
C186,1939.5,36610,37210,600,COMPLETED
C187,862.0,37200,37800,600,COMPLETED
C188,1293.0,37205,37805,600,COMPLETED
C189,1939.5,37210,37810,600,COMPLETED
C190,862.0,37800,38400,600,COMPLETED
C191,1293.0,37805,38405,600,COMPLETED
C192,1939.5,37810,38410,600,COMPLETED
C193,862.0,38400,39000,600,COMPLETED
C194,1293.0,38405,39005,600,COMPLETED
C195,1939.5,38410,39010,600,COMPLETED
C196,862.0,39000,39600,600,COMPLETED
C197,1293.0,39005,39605,600,COMPLETED
C198,1939.5,39010,39610,600,COMPLETED
C199,862.0,39600,40200,600,COMPLETED
C200,1293.0,39605,40205,600,COMPLETED
C201,1939.5,39610,40210,600,COMPLETED
C202,862.0,40200,40800,600,COMPLETED
C203,1293.0,40205,40805,600,COMPLETED
C204,1939.5,40210,40810,600,COMPLETED
C205,862.0,40800,41400,600,COMPLETED
C206,1293.0,40805,41405,600,COMPLETED
C207,1939.5,40810,41410,600,COMPLETED
C208,862.0,41400,42000,600,COMPLETED
C209,1293.0,41405,42005,600,COMPLETED
C210,1939.5,41410,42010,600,COMPLETED
C211,862.0,42000,42600,600,COMPLETED
C212,1293.0,42005,42605,600,COMPLETED
C213,1939.5,42010,42610,600,COMPLETED
C214,862.0,42600,43200,600,COMPLETED
C215,1293.0,42605,43205,600,COMPLETED
C216,1939.5,42610,43210,600,COMPLETED
C217,862.0,43200,43800,600,COMPLETED
C218,1293.0,43205,43805,600,COMPLETED
C219,1939.5,43210,43810,600,COMPLETED
C220,862.0,43800,44400,600,COMPLETED
C221,1293.0,43805,44405,600,COMPLETED
C222,1939.5,43810,44410,600,COMPLETED
C223,862.0,44400,45000,600,COMPLETED
C224,1293.0,44405,45005,600,COMPLETED
C225,1939.5,44410,45010,600,COMPLETED
C226,862.0,45000,45600,600,COMPLETED
C227,1293.0,45005,45605,600,COMPLETED
C228,1939.5,45010,45610,600,COMPLETED
C229,862.0,45600,46200,600,COMPLETED
C230,1293.0,45605,46205,600,COMPLETED
C231,1939.5,45610,46210,600,COMPLETED
C232,862.0,46200,46800,600,COMPLETED
C233,1293.0,46205,46805,600,COMPLETED
C234,1939.5,46210,46810,600,COMPLETED
C235,862.0,46800,47400,600,COMPLETED
C236,1293.0,46805,47405,600,COMPLETED
C237,1939.5,46810,47410,600,COMPLETED
C238,862.0,47400,48000,600,COMPLETED
C239,1293.0,47405,48005,600,COMPLETED
C240,1939.5,47410,48010,600,COMPLETED
C241,862.0,48000,48600,600,COMPLETED
C242,1293.0,48005,48605,600,COMPLETED
C243,1939.5,48010,48610,600,COMPLETED
C244,862.0,48600,49200,600,COMPLETED
C245,1293.0,48605,49205,600,COMPLETED
C246,1939.5,48610,49210,600,COMPLETED
C247,862.0,49200,49800,600,COMPLETED
C248,1293.0,49205,49805,600,COMPLETED
C249,1939.5,49210,49810,600,COMPLETED
C250,862.0,49800,50400,600,COMPLETED
C251,1293.0,49805,50405,600,COMPLETED
C252,1939.5,49810,50410,600,COMPLETED
C253,862.0,50400,51000,600,COMPLETED
C254,1293.0,50405,51005,600,COMPLETED
C255,1939.5,50410,51010,600,COMPLETED
C256,862.0,51000,51600,600,COMPLETED
C257,1293.0,51005,51605,600,COMPLETED
C258,1939.5,51010,51610,600,COMPLETED
C259,862.0,51600,52200,600,COMPLETED
C260,1293.0,51605,52205,600,COMPLETED
C261,1939.5,51610,52210,600,COMPLETED
C262,862.0,52200,52800,600,COMPLETED
C263,1293.0,52205,52805,600,COMPLETED
C264,1939.5,52210,52810,600,COMPLETED
C265,862.0,52800,53400,600,COMPLETED
C266,1293.0,52805,53405,600,COMPLETED
C267,1939.5,52810,53410,600,COMPLETED
C268,862.0,53400,54000,600,COMPLETED
C269,1293.0,53405,54005,600,COMPLETED
C270,1939.5,53410,54010,600,COMPLETED
C271,862.0,54000,54600,600,COMPLETED
C272,1293.0,54005,54605,600,COMPLETED
C273,1939.5,54010,54610,600,COMPLETED
C274,862.0,54600,55200,600,COMPLETED
C275,1293.0,54605,55205,600,COMPLETED
C276,1939.5,54610,55210,600,COMPLETED
C277,862.0,55200,55800,600,COMPLETED
C278,1293.0,55205,55805,600,COMPLETED
C279,1939.5,55210,55810,600,COMPLETED
C280,862.0,55800,56400,600,COMPLETED
C281,1293.0,55805,56405,600,COMPLETED
C282,1939.5,55810,56410,600,COMPLETED
C283,862.0,56400,57000,600,COMPLETED
C284,1293.0,56405,57005,600,COMPLETED
C285,1939.5,56410,57010,600,COMPLETED
C286,862.0,57000,57600,600,COMPLETED
C287,1293.0,57005,57605,600,COMPLETED
C288,1939.5,57010,57610,600,COMPLETED
C289,862.0,57600,58200,600,COMPLETED
C290,1293.0,57605,58205,600,COMPLETED
C291,1939.5,57610,58210,600,COMPLETED
C292,862.0,58200,58800,600,COMPLETED
C293,1293.0,58205,58805,600,COMPLETED
C294,1939.5,58210,58810,600,COMPLETED
C295,862.0,58800,59400,600,COMPLETED
C296,1293.0,58805,59405,600,COMPLETED
C297,1939.5,58810,59410,600,COMPLETED
C298,862.0,59400,60000,600,COMPLETED
C299,1293.0,59405,60005,600,COMPLETED
C300,1939.5,59410,60010,600,COMPLETED
C301,862.0,60000,60600,600,COMPLETED
C302,1293.0,60005,60605,600,COMPLETED
C303,1939.5,60010,60610,600,COMPLETED
C304,862.0,60600,61200,600,COMPLETED
C305,1293.0,60605,61205,600,COMPLETED
C306,1939.5,60610,61210,600,COMPLETED
C307,862.0,61200,61800,600,COMPLETED
C308,1293.0,61205,61805,600,COMPLETED
C309,1939.5,61210,61810,600,COMPLETED
C310,862.0,61800,62400,600,COMPLETED
C311,1293.0,61805,62405,600,COMPLETED
C312,1939.5,61810,62410,600,COMPLETED
C313,862.0,62400,63000,600,COMPLETED
C314,1293.0,62405,63005,600,COMPLETED
C315,1939.5,62410,63010,600,COMPLETED
C316,862.0,63000,63600,600,COMPLETED
C317,1293.0,63005,63605,600,COMPLETED
C318,1939.5,63010,63610,600,COMPLETED
C319,862.0,63600,64200,600,COMPLETED
C320,1293.0,63605,64205,600,COMPLETED
C321,1939.5,63610,64210,600,COMPLETED
C322,862.0,64200,64800,600,COMPLETED
C323,1293.0,64205,64805,600,COMPLETED
C324,1939.5,64210,64810,600,COMPLETED
C325,862.0,64800,65400,600,COMPLETED
C326,1293.0,64805,65405,600,COMPLETED
C327,1939.5,64810,65410,600,COMPLETED
C328,862.0,65400,66000,600,COMPLETED
C329,1293.0,65405,66005,600,COMPLETED
C330,1939.5,65410,66010,600,COMPLETED
C331,862.0,66000,66600,600,COMPLETED
C332,1293.0,66005,66605,600,COMPLETED
C333,1939.5,66010,66610,600,COMPLETED
C334,862.0,66600,67200,600,COMPLETED
C335,1293.0,66605,67205,600,COMPLETED
C336,1939.5,66610,67210,600,COMPLETED
C337,862.0,67200,67800,600,COMPLETED
C338,1293.0,67205,67805,600,COMPLETED
C339,1939.5,67210,67810,600,COMPLETED
C340,862.0,67800,68400,600,COMPLETED
C341,1293.0,67805,68405,600,COMPLETED
C342,1939.5,67810,68410,600,COMPLETED
C343,862.0,68400,69000,600,COMPLETED
C344,1293.0,68405,69005,600,COMPLETED
C345,1939.5,68410,69010,600,COMPLETED
C346,862.0,69000,69600,600,COMPLETED
C347,1293.0,69005,69605,600,COMPLETED
C348,1939.5,69010,69610,600,COMPLETED
C349,862.0,69600,70200,600,COMPLETED
C350,1293.0,69605,70205,600,COMPLETED
C351,1939.5,69610,70210,600,COMPLETED
C352,862.0,70200,70800,600,COMPLETED
C353,1293.0,70205,70805,600,COMPLETED
C354,1939.5,70210,70810,600,COMPLETED
C355,862.0,70800,71400,600,COMPLETED
C356,1293.0,70805,71405,600,COMPLETED
C357,1939.5,70810,71410,600,COMPLETED
C358,862.0,71400,72000,600,COMPLETED
C359,1293.0,71405,72005,600,COMPLETED
C360,1939.5,71410,72010,600,COMPLETED
C361,862.0,72000,72600,600,COMPLETED
C362,1293.0,72005,72605,600,COMPLETED
C363,1939.5,72010,72610,600,COMPLETED
C364,862.0,72600,73200,600,COMPLETED
C365,1293.0,72605,73205,600,COMPLETED
C366,1939.5,72610,73210,600,COMPLETED
C367,862.0,73200,73800,600,COMPLETED
C368,1293.0,73205,73805,600,COMPLETED
C369,1939.5,73210,73810,600,COMPLETED
C370,862.0,73800,74400,600,COMPLETED
C371,1293.0,73805,74405,600,COMPLETED
C372,1939.5,73810,74410,600,COMPLETED
C373,862.0,74400,75000,600,COMPLETED
C374,1293.0,74405,75005,600,COMPLETED
C375,1939.5,74410,75010,600,COMPLETED
C376,862.0,75000,75600,600,COMPLETED
C377,1293.0,75005,75605,600,COMPLETED
C378,1939.5,75010,75610,600,COMPLETED
C379,862.0,75600,76200,600,COMPLETED
C380,1293.0,75605,76205,600,COMPLETED
C381,1939.5,75610,76210,600,COMPLETED
C382,862.0,76200,76800,600,COMPLETED
C383,1293.0,76205,76805,600,COMPLETED
C384,1939.5,76210,76810,600,COMPLETED
C385,862.0,76800,77400,600,COMPLETED
C386,1293.0,76805,77405,600,COMPLETED
C387,1939.5,76810,77410,600,COMPLETED
C388,862.0,77400,78000,600,COMPLETED
C389,1293.0,77405,78005,600,COMPLETED
C390,1939.5,77410,78010,600,COMPLETED
C391,862.0,78000,78600,600,COMPLETED
C392,1293.0,78005,78605,600,COMPLETED
C393,1939.5,78010,78610,600,COMPLETED
C394,862.0,78600,79200,600,COMPLETED
C395,1293.0,78605,79205,600,COMPLETED
C396,1939.5,78610,79210,600,COMPLETED
C397,862.0,79200,79800,600,COMPLETED
C398,1293.0,79205,79805,600,COMPLETED
C399,1939.5,79210,79810,600,COMPLETED
C400,862.0,79800,80400,600,COMPLETED
C401,1293.0,79805,80405,600,COMPLETED
C402,1939.5,79810,80410,600,COMPLETED
C403,862.0,80400,81000,600,COMPLETED
C404,1293.0,80405,81005,600,COMPLETED
C405,1939.5,80410,81010,600,COMPLETED
C406,862.0,81000,81600,600,COMPLETED
C407,1293.0,81005,81605,600,COMPLETED
C408,1939.5,81010,81610,600,COMPLETED
C409,862.0,81600,82200,600,COMPLETED
C410,1293.0,81605,82205,600,COMPLETED
C411,1939.5,81610,82210,600,COMPLETED
C412,862.0,82200,82800,600,COMPLETED
C413,1293.0,82205,82805,600,COMPLETED
C414,1939.5,82210,82810,600,COMPLETED
C415,862.0,82800,83400,600,COMPLETED
C416,1293.0,82805,83405,600,COMPLETED
C417,1939.5,82810,83410,600,COMPLETED
C418,862.0,83400,84000,600,COMPLETED
C419,1293.0,83405,84005,600,COMPLETED
C420,1939.5,83410,84010,600,COMPLETED
C421,862.0,84000,84600,600,COMPLETED
C422,1293.0,84005,84605,600,COMPLETED
C423,1939.5,84010,84610,600,COMPLETED
C424,862.0,84600,85200,600,COMPLETED
C425,1293.0,84605,85205,600,COMPLETED
C426,1939.5,84610,85210,600,COMPLETED
C427,862.0,85200,85800,600,COMPLETED
C428,1293.0,85205,85805,600,COMPLETED
C429,1939.5,85210,85810,600,COMPLETED
C430,862.0,85800,86400,600,COMPLETED
C431,1293.0,85805,86405,600,RUNNING
C432,1939.5,85810,86410,600,RUNNING
